Dateiname,Jahr,Aggressions_Dichte,Negative_Woerter_Absolut,Gesamtwoerter,Top_Aggressionswoerter
01. Ausgabe 1930.txt,1930,33.52,299,8921,"ende(7), alten(5), angst(4), leider(4), beschränkten(4)"
01. Ausgabe 1931-1.txt,1931,35.19,187,5314,"kampf(10), gegner(8), abgelehnt(6), geschlagen(5), kurz(5)"
02. Ausgabe 1931-1.txt,1931,35.43,339,9568,"kleinen(10), not(8), kleine(6), revolution(5), schloss(5)"
03. Ausgabe 1931-1.txt,1931,38.3,357,9322,"kleine(7), not(6), kurz(5), kleiner(5), revolution(5)"
04. Ausgabe 1931.txt,1931,35.36,288,8144,"not(12), alte(6), schwer(5), ende(5), kampf(4)"
05. Ausgabe 1930-1.txt,1930,30.33,140,4616,"elend(4), verzichten(3), armen(3), leider(3), beschwerde(3)"
05. Ausgabe 1931.txt,1931,35.89,323,9000,"korruption(9), beklagten(8), krise(6), klage(6), schwer(5)"
06. Ausgabe 1930.txt,1930,31.51,295,9361,"alten(12), kritiker(9), fällt(5), kurz(5), kritik(5)"
06. Ausgabe 1931-1.txt,1931,31.51,295,9361,"alten(12), kritiker(9), fällt(5), kurz(5), kritik(5)"
07. Ausgabe 1930-1.txt,1930,28.84,189,6554,"kampf(6), beschwerde(5), verdacht(5), billig(4), kritik(3)"
07. Ausgabe 1931-1.txt,1931,31.81,301,9461,"not(6), schuld(5), kleine(4), kurz(4), verurteilt(4)"
08. Ausgabe 1930-1.txt,1930,31.45,273,8680,"dreck(4), kampf(4), angst(3), kämpfen(3), beleidigt(3)"
08. Ausgabe 1930.txt,1930,31.45,273,8680,"dreck(4), kampf(4), angst(3), kämpfen(3), beleidigt(3)"
08. Ausgabe 1931-1.txt,1931,27.21,252,9261,"leider(6), schlag(6), not(5), toten(5), alten(4)"
09. Ausgabe 1930-1.txt,1930,32.08,283,8821,"bruch(5), klagen(5), kleine(4), schwer(4), alten(4)"
09. Ausgabe 1930-2.txt,1930,32.08,283,8821,"bruch(5), klagen(5), kleine(4), schwer(4), alten(4)"
09. Ausgabe 1931-1.txt,1931,31.89,327,10253,"kriege(6), kleinen(6), leider(6), gefallen(5), ende(5)"
10. Ausgabe 1930.txt,1930,41.39,369,8916,"inflation(10), alten(7), kurz(6), arm(5), tode(5)"
10. Ausgabe 1931.txt,1931,33.48,303,9051,"ende(5), krankheit(5), kleinen(4), not(4), vernichtendes(3)"
11. Ausgabe 1930.txt,1930,26.57,246,9259,"alten(7), kampf(6), überschuss(6), kleineren(4), kleine(3)"
11. Ausgabe 1931-1.txt,1931,31.9,237,7430,"gefahr(5), kleinen(5), kleine(4), leider(4), auflösung(4)"
12. Ausgabe 1930.txt,1930,33.72,310,9192,"billig(10), alten(9), arbeitslose(6), kampf(6), arbeitslosen(6)"
12. Ausgabe 1931-1.txt,1931,40.12,346,8624,"kampf(7), alten(6), krankheit(5), opposition(4), schweren(4)"
13. Ausgabe 1930.txt,1930,34.11,266,7798,"zweifel(9), billig(6), alten(5), sucht(4), ende(4)"
13. Ausgabe 1931-1.txt,1931,37.13,341,9183,"opposition(6), agitation(5), arbeitslosigkeit(4), schwer(4), klagen(4)"
14. Ausgabe 1930-1.txt,1930,32.5,306,9414,"kleine(6), zusammenbruch(4), schwer(4), ende(4), alten(4)"
14. Ausgabe 1931-1.txt,1931,30.84,208,6745,"kleine(6), fälschung(6), affäre(4), kämpfen(4), falle(3)"
15. Ausgabe 1930-2.txt,1930,34.0,170,5000,"geldstrafe(7), beleidigung(4), not(4), pflicht(4), schulden(3)"
15. Ausgabe 1931-2.txt,1931,38.91,362,9303,"krankheit(13), leiden(10), krankheiten(8), gefahr(5), inflation(5)"
16. Ausgabe 1929 OCR korrekt.txt,1929,35.98,267,7420,"falscher(13), ende(7), inflation(5), not(5), leider(4)"
16. Ausgabe 1930-1.txt,1930,37.97,340,8954,"not(9), kritik(8), beleidigung(6), kleine(4), schwere(4)"
16. Ausgabe 1931-2.txt,1931,33.05,306,9259,"armen(5), not(5), kleine(4), schaden(4), unglück(4)"
16. Ausgabe OCR korrekt.txt,unbekannt,35.98,267,7420,"falscher(13), ende(7), inflation(5), not(5), leider(4)"
17. Ausgabe 1930.txt,1930,28.99,153,5278,"untergehen(4), widerspruch(3), sucht(3), billig(3), unwahre(2)"
17. Ausgabe 1931-1.txt,1931,36.49,347,9510,"not(12), elend(7), kampf(7), tod(5), beschädigten(5)"
18. Ausgabe 1930-1.txt,1930,33.83,387,11438,"kampf(9), bruch(9), alten(7), anklage(7), beleidigung(7)"
18. Ausgabe 1931.txt,1931,33.48,328,9797,"not(12), streng(7), sterben(5), raub(5), verloren(5)"
19. Ausgabe 1931-1.txt,1931,33.07,339,10250,"pflicht(22), not(10), unten(6), brach(5), fallen(4)"
20. Ausgabe 1930.txt,1930,32.21,433,13444,"kampf(17), schulden(12), beleidigungen(11), beleidigung(9), anklage(7)"
20. Ausgabe 1931-1.txt,1931,33.68,286,8492,"erschossen(7), kleine(6), alten(6), ende(5), kleines(5)"
21. Ausgabe 1930.txt,1930,35.31,301,8524,"verurteilt(10), geldstrafe(7), angriffe(6), kampf(5), gegner(4)"
21. Ausgabe 1931-1.txt,1931,33.8,336,9942,"kleine(6), unmöglich(5), leider(5), pflicht(5), sinken(4)"
22. Ausgabe 1930.txt,1930,26.83,256,9543,"rücktritt(8), kampf(8), billig(6), not(5), pflicht(4)"
22. Ausgabe 1931-1.txt,1931,25.68,246,9578,"kampf(8), beschwerde(5), alten(3), krank(3), kleine(2)"
23. Ausgabe 1930.txt,1930,32.81,294,8960,"kampf(8), kleine(5), sucht(5), ende(5), kleinen(5)"
23. Ausgabe 1931-1.txt,1931,34.47,335,9720,"verboten(6), kleine(5), alten(5), angst(5), leid(4)"
24. Ausgabe 1930.txt,1930,31.66,185,5843,"alten(5), katastrophe(4), alte(4), verurteilt(4), geldstrafe(4)"
24. Ausgabe 1931-1.txt,1931,25.97,180,6930,"ende(7), kleine(4), sucht(4), unmöglich(3), not(3)"
25. Ausgabe 1930.txt,1930,36.03,344,9548,"not(11), ende(6), alten(6), gefahr(5), unsinn(4)"
25_26 Ausgabe 1931.txt,1931,34.08,474,13908,"not(12), kleine(7), ende(7), schwer(7), alten(7)"
26. Ausgabe 1930.txt,1930,34.79,313,8997,"not(7), steuerhinterziehungen(7), kleinen(6), pflicht(6), armen(5)"
27. Ausgabe 1930.txt,1930,37.38,303,8105,"not(7), verurteilt(4), vorwürfe(4), belastung(4), revolution(3)"
27_28. Ausgabe 1931.txt,1931,40.35,576,14274,"kampf(13), not(9), alten(8), gefahr(8), unglück(6)"
28. Ausgabe 1930.txt,1930,28.35,282,9947,"kleine(6), ende(5), alte(5), billig(5), schaden(4)"
29. Ausgabe 1930.txt,1930,30.82,258,8372,"not(6), arbeitslosen(3), kämpfen(3), leider(3), fallen(3)"
29. Ausgabe 1931.txt,1931,37.2,367,9866,"revolution(19), alten(8), gefahr(6), feind(5), kleine(5)"
30. Ausgaabe 1930.txt,1930,34.46,296,8590,"betrug(8), ende(7), alten(6), armen(5), arbeitslose(5)"
30. Ausgabe 1931.txt,1931,35.53,331,9317,"ende(9), alte(8), krieges(7), kleine(5), not(5)"
