Wort1,Wort2,Häufigkeit
stadt,wächter,1510
seite,stadt,195
deutsche,volk,193
stadt,wäcter,176
stadt,land,138
wächter,osnabrü,128
meinung,stadt,118
millionen,mark,113
freie,meinung,112
freie,presse,107
freien,presse,98
deutschen,volkes,96
unabhängiges,organ,94
weizen,roggen,94
stern,verlag,94
wächter,partei,88
grosse,strasse,84
kleine,anzeigen,81
erster,linie,79
seit,jahren,77
phil,heinrich,73
leser,sagen,71
verlag,stern,71
zugesandte,manuskripte,70
beiträge,übernehmen,70
nie,juden,65
stadt,wächters,65
heinrich,schierbaum,64
lieber,stadt,62
unverlangt,zugesandte,59
