Dokument,Gruppe,Dominantes_Thema,Themenanteil,Thema_1,Thema_2,Thema_3,Thema_4,Thema_5,Thema_6,Thema_7,Thema_8
OCR 01. Ausgabe 1930 Stadtwächter-1.txt,documents-export-2026-02-23 (1),6,0.4377937133142925,9.441120256543796e-05,0.03663922052011371,9.45062862487591e-05,9.441120257183793e-05,9.441120255958923e-05,0.4377937133142925,0.10440379402312779,0.4207855322485204
OCR 01. Ausgabe 1931-1.txt,documents-export-2026-02-23 (1),6,0.5832418219638854,0.00010850732299742741,0.0177715626707498,0.00010859125664638092,0.00010850732300646853,0.00010850732298966595,0.5832418219638854,0.0834399289574616,0.3151125731822633
OCR 02. Ausgabe 1930-1.txt,documents-export-2026-02-23 (1),8,0.5013346718435638,7.246404018988578e-05,7.259713864067093e-05,7.25241273231156e-05,7.24640401943719e-05,7.246404018573109e-05,0.4270495687202102,0.07125324604969219,0.5013346718435638
OCR 02. Ausgabe 1931-1.txt,documents-export-2026-02-23 (1),6,0.6313501747745119,5.6331882248322365e-05,5.641979473202262e-05,5.639138865594205e-05,5.6331882251364284e-05,5.6331882244301344e-05,0.6313501747745119,0.04030414806482125,0.328063870330535
OCR 03. Ausgabe 1931-1.txt,documents-export-2026-02-23 (1),6,0.7414830187338685,6.130478254511867e-05,6.142333992947083e-05,6.13893772107512e-05,6.130478254809853e-05,6.130478254035717e-05,0.7414830187338685,6.142255080569756e-05,0.258148831650552
OCR 04. Ausgabe 1931_001-1.txt,documents-export-2026-02-23 (1),6,0.6937971229827448,5.760388882676851e-05,5.769272987609212e-05,5.7668904064352004e-05,5.760388882923195e-05,5.760388882204066e-05,0.6937971229827448,0.012012767226749922,0.293901936490087
OCR 05. Ausgabe 1930-1.txt,documents-export-2026-02-23 (1),8,0.6319596844649689,9.8193614983114e-05,0.012431397483689044,9.827787322812881e-05,9.819361498658202e-05,9.819361497868581e-05,0.2911933423239561,0.06402271700920965,0.6319596844649689
OCR 05. Ausgabe 1931 (1)-1.txt,documents-export-2026-02-23 (1),6,0.6897873682034693,5.8466066736907523e-05,0.015515039794078733,5.852131017253707e-05,5.846606674012185e-05,5.846606673198187e-05,0.6897873682034693,5.857206814347779e-05,0.294405100423927
OCR 06. Ausgabe 1931_001-1.txt,documents-export-2026-02-23 (1),6,0.6482426064634943,6.306784064874148e-05,6.317991283865315e-05,6.317073553187746e-05,6.306784065214036e-05,6.306784064435668e-05,0.6482426064634943,0.033593908311908935,0.31784793105428094
OCR 07. Ausgabe 1930-1.txt,documents-export-2026-02-23 (1),8,0.6208469222827377,8.503432248977253e-05,8.5167425781562e-05,8.510102075076203e-05,8.503432249082594e-05,8.503432248178094e-05,0.32304644989070097,0.05568125641256649,0.6208469222827377
OCR 07. Ausgabe 1931-1.txt,documents-export-2026-02-23 (1),6,0.6864612908317018,7.543781444301737e-05,7.555671528257761e-05,7.552705329110147e-05,7.543781444711758e-05,7.543781443789876e-05,0.6864612908317018,0.022107816289121264,0.29105349566727506
OCR 08. Ausgabe 1931-1.txt,documents-export-2026-02-23 (1),6,0.5982092054165452,6.603299249627082e-05,6.61422417555564e-05,6.609005488456171e-05,6.603299249903578e-05,6.603299249230139e-05,0.5982092054165452,6.61449311124561e-05,0.40139431837821465
