Wort,Häufigkeit
stadt,3230
wächter,1807
herr,1269
deutschen,1267
zeit,1177
juden,1077
mark,1068
deutsche,970
müssen,936
volk,908
recht,887
heute,873
sei,862
seite,835
osnabrück,775
lassen,741
dex,721
jahre,673
herrn,671
schierbaum,657
grosse,652
presse,644
millionen,644
mann,635
wissen,617
gut,614
deutschland,598
geht,592
sagen,581
arbeit,570
kommt,560
dur,552
staat,550
uhr,549
wegen,535
partei,528
leben,526
herren,521
zeitung,519
hätte,517
grossen,512
geld,508
oberbürgermeister,500
nie,497
frau,495
kommen,494
macht,493
gen,488
steht,480
arbeiter,480
wurden,475
usw,472
neü,465
ganze,462
berlin,462
ten,461
weiss,459
unserer,459
tage,459
jüdischen,453
stelle,451
frage,450
land,438
jude,438
seit,435
jahren,434
allein,429
geben,426
darauf,426
not,425
etwa,423
teil,417
magistrat,417
neün,415
gericht,415
weise,414
menschen,411
bürger,411
dafür,411
leute,409
tag,408
denen,400
gemacht,400
ganzen,398
lange,394
sache,392
gehen,391
strasse,389
sehen,385
osnabrü,385
erhalten,384
reich,383
wort,383
tun,381
gerade,379
artikel,372
stellen,368
welt,365
verlag,364
vielleicht,358
regierung,355
stehen,355
warum,354
grund,354
feine,351
kampf,343
überhaupt,343
hand,341
haus,339
fall,339
wirtschaft,338
prozent,338
nehmen,337
find,336
telefon,335
art,334
preis,333
alten,333
noh,333
dabei,333
freie,332
volkes,329
deren,327
konnte,324
viele,322
genau,319
gegenüber,317
sollen,315
beamten,314
leser,314
fast,312
her,308
kam,307
weit,306
lässt,304
jahr,301
davon,300
bringen,300
sagt,299
jüdische,299
möglich,297
billig,297
darüber,297
besonders,295
halten,295
namen,294
lage,293
mittel,293
glauben,292
wahrheit,291
finden,290
ende,289
nen,289
liegt,286
heisst,285
gute,284
genug,283
durc,283
gleich,280
ging,279
bereits,279
darum,276
firma,275
kaufen,273
kosten,272
bald,270
bestimmt,267
augen,267
ersten,267
meinung,264
gern,264
kleine,263
sofort,262
geschäft,261
sonntag,260
steürn,260
wirklich,259
preise,259
oft,259
besser,258
hätten,257
endlich,256
zentrum,256
bitte,256
eigenen,254
sagte,250
volke,250
daran,249
gesagt,249
darf,249
wenig,247
wochen,247
berliner,247
stand,245
natürlich,245
kinder,244
nämlich,243
fest,241
daher,241
sowie,240
sogar,239
osnabrücker,237
märz,236
sieht,235
gehört,235
beiden,235
gebracht,234
lich,233
arbeiten,232
nummer,232
frei,232
handelt,231
geworden,230
men,230
schreibt,229
parteien,229
weitere,228
interesse,227
schen,227
bekannt,226
kaum,226
sic,226
alte,226
einfach,225
ven,223
anzeigen,222
tatsache,222
sicher,220
wert,220
hen,219
voll,219
auc,218
wege,218
urteil,217
weniger,217
tie,217
kleinen,217
bürgervorsteher,216
möchte,216
vielen,215
bleibt,213
redaktion,211
hohen,211
zeitungen,211
führen,211
stellung,210
übrigen,210
deutscher,209
folgende,209
hafer,208
bleiben,207
lieber,207
gegeben,205
jedoch,205
heinrich,205
damen,204
ent,203
nächsten,203
arzt,203
phil,202
april,202
all,201
heraus,201
seien,201
tagen,200
politischen,199
hause,199
weizen,198
nachdem,198
freien,197
wäcter,196
leider,195
mag,195
pflicht,195
fragen,194
richtig,194
besten,193
lezten,192
denken,192
minister,192
antrag,191
führer,191
februar,191
erscheint,190
osnabrüc,190
früher,189
guten,189
zahlen,189
grosser,189
tat,189
amt,188
dezember,187
bekommen,186
august,186
gott,186
polizei,185
erste,184
vertreter,184
fraün,183
gestellt,182
darin,182
organ,181
später,181
jeht,181
liebe,181
prozess,181
willen,180
roggen,180
dent,180
schreiben,179
kamp,179
liess,179
zusammen,178
verlangen,178
pfennig,177
stadtwächter,177
vie,177
stets,176
ebenso,175
politik,174
system,174
rat,174
tut,174
statt,174
zeiten,173
heutigen,173
