dateiname,muster,treffer_text,orgs_ner,pers_ner,kontext
04. Ausgabe 1931.txt,jüdisch+Geschäftsbegriff,Jüdisches Geschäft,,,"in der „Herberge zur Heimat“ vor? Unerhörter Zinswucher – Riesenschwindel in Hamburg – Warnung – [TREFFER] Jüdisches Geschäft [/TREFFER] – Erfolgreiche Tätigkeit des Stadtgartenoberinspektors Freytag Den vielfachen Gerüchten, die uns aus dem Bereich der"
09. Ausgabe 1930-1.txt,Boykottparole,Kauft nie bei Jude,! ○ Augen auf!,Nie; Nie,"Gebot: Nie bei Juden kaufen! 19. Gebot: Nie bei Juden kaufen! ○ Augen auf! ○ [TREFFER] Kauft nie bei Jude [/TREFFER] n! ● Eigenwerbung Zeitung: ○ Immer und immer wieder: Stadtwächterleser und Freunde, unterstützt in erster"
09. Ausgabe 1930-2.txt,Boykottparole,Kauft nie bei Jude,! ○ Augen auf!,Nie; Nie,"Gebot: Nie bei Juden kaufen! 19. Gebot: Nie bei Juden kaufen! ○ Augen auf! ○ [TREFFER] Kauft nie bei Jude [/TREFFER] n! ● Eigenwerbung Zeitung: ○ Immer und immer wieder: Stadtwächterleser und Freunde, unterstützt in erster"
09. Ausgabe 1931-1.txt,jüdisch+Geschäftsbegriff,jüdisches Geschäft,Fememord!,,Montag und Donnerstag Nachmittag 4 Uhr. Ein Märchen! Die Wahrheit über die Fememord-Prozesse Ein feines [TREFFER] jüdisches Geschäft [/TREFFER] – Venenentzündung – Zu hohe Ladenmieten – Eine Abfuhr Severings „Fememord!“ Aus dem Buch von
10. Ausgabe 1930.txt,jüdisch+Geschäftsbegriff,jüdischen Firma,,,"Osnabrück, den 2. März 1930 / Nr. 10 Mosbach und Genossen blamiert! Nichts war der [TREFFER] jüdischen Firma [/TREFFER] Mosbach zu dumm, um nicht einen Prozeß daraus zu machen. Auf dem Leim gekrochen –"
11. Ausgabe 1931-1.txt,jüdisch+Geschäftsbegriff,jüdische Firma,Liga für Menschenrechte,,"und damit den Weg zur Versklavung des Wirtsvolkes. Die Liga für Menschenrechte ist eine rein [TREFFER] jüdische Firma [/TREFFER] , geschaffen für nur jüdische Zwecke. Sie hat sich als jüdische Einrichtung wiederholt verraten, als"
13. Ausgabe 1930.txt,jüdisch+Geschäftsbegriff,jüdische Firma,Max Blank & Co.,,"in Osnabrück Als seinerzeit, etwa Anfang dieses Jahres, in hiesigen Blättern die Meldung auftauchte, die [TREFFER] jüdische Firma [/TREFFER] Max Blank & Co. habe das schöne alte Patrizierhaus Große Straße 43 (Finkenstaedt-Breusing) zur Erweiterung"
13. Ausgabe 1930.txt,jüdisch+Geschäftsbegriff,jüdischen Firma,Blank & Co.,,"uns vor 14 Tagen die Gewißheit auf den Tisch, in Form einer Jubiläumsschrift der betr. [TREFFER] jüdischen Firma [/TREFFER] . Darin wird in der Schilderung über die „Entwicklung“ von Blank & Co. sogar mit"
17. Ausgabe 1930.txt,jüdisch+Geschäftsbegriff,jüdischen Firma,,,"menschenunwürdige Behandlung auf dem Städtischen Arbeitsamt über mich ergehen lassen und wurde von einer galizisch- [TREFFER] jüdischen Firma [/TREFFER] auf der Großen Straße nach allen Regeln jüdischer Geschäftsmoral begaunert. Ich änderte mich, eine seelische"
17. Ausgabe 1930.txt,Juden-Firmen-Liste,Juden-Firmen Verzeichnis (Boykottaufruf),,G. Böhle & Sohn; Carl Doutrelepont; Hasestr; Juden-Firmen Verzeichnis; Philipp,"/ G. Böhle & Sohn, Rosenplatz 4. Herrenartikel: Carl Doutrelepont, Hasestr. 10. Socken, Krawatten billig. [TREFFER] Juden-Firmen Verzeichnis (Boykottaufruf) [/TREFFER] : ● 7 Firmen Große Straße: Mosbach, Alsberg, Blank, Wertheim, Philipp, Schönfeld, Markus. ● 2"
17. Ausgabe 1930.txt,Boykottparole,Kauft nie beim Jude,,Otto Loeb; Rudolf Voß,"● 1 Firma Johannisstraße: Otto Loeb. ● Hinweis: Das Oberlandesgericht Celle untersagte die Anzeige „ [TREFFER] Kauft nie beim Jude [/TREFFER] n“. Revision ist eingelegt. Hutfabrik: Reinigung und Formung, Turmstraße 18. Photo-Atelier: Rudolf Voß, Große Straße"
18. Ausgabe 1930-1.txt,jüdisch+Geschäftsbegriff,jüdischen Geschäft,,,"einmal eine Lehre erhalten hatte: Dass die Malermeistersgattin in ihrem Leben nie mehr in einem [TREFFER] jüdischen Geschäft [/TREFFER] kauft, dafür bürge ich. Die schwarze Bauernfahne Die gedrückte, ja geradezu verzweifelte Stimmung der Bauernschaft"
24. Ausgabe 1930.txt,Juden-Firmen-Liste,Juden-Firmen,,Kremer; Hartmann; Nieuhoff,"Arterienverkalkung, Schwindel, hohen Blutdruck. Flasche RM 1.60. Erhältlich im Reformhaus, Krahnstraße 32 a und b. [TREFFER] Juden-Firmen [/TREFFER] ...haben wieder ein Urteil des Landgerichts Osnabrück (unterzeichnet: Kremer, Hartmann, Nieuhoff) erwirkt, durch das zunächst"
26. Ausgabe 1930.txt,Boykottparole,"Kauf
nicht beim Jude",,,"auferlegt würde. Demgegenüber ist jeder Stadt-Wächter vogelfrei. 1500 Mark Geldstrafe für die 10 Gebote „ [TREFFER] Kauf
nicht beim Jude [/TREFFER] n!“ 800 Mark für Empfehlung jüdischer Geschäfte! Jetzt sogar Freiheitsstrafe – 3 Tage Haft muss"
27. Ausgabe 1930.txt,Boykottparole,Kauft nicht von Jude,,Juden-Boykott,"die, die alle moralische Ursache hätten zu zahlen, drücken sich um jede Abgabe. Juden-Boykott „ [TREFFER] Kauft nicht von Jude [/TREFFER] n!“ „Verkehrt nicht mit Juden!“ So sieht es in Thüringen aus. Unter diesen Überschriften lässt"
