Rang,Wort1,Wort2,PMI,Häufigkeit
1,Kürschner,Buerschestraße,11.9301,5
2,Konfirmation,Kommunion,11.9301,5
3,volksschädlich,Handlung,11.6671,5
4,Buerschestraße,Laden,11.4447,5
5,täglich,stündlich,10.9301,5
6,Geschäftsmann,leistungsfähig,10.8191,5
7,Decke,Bedarf,10.8191,5
8,leistungsfähig,liefern,10.5296,5
9,Adolf,Hitler,10.5296,5
10,Führung,Winke,10.4447,8
11,Schmähung,Verunglimpfung,10.3996,9
12,kommandieren,Wirklichkeit,10.3452,6
13,Laden,Telefon,10.3072,5
14,Kreuz,schlagen,10.2521,6
15,Winke,folgen,10.1366,6
16,berücksichtigen,inserieren,10.0821,5
17,hausfrau,Leser,9.8598,5
18,liefern,berücksichtigen,9.7926,5
19,Reichsfinanzminister,Hilferding,9.7926,5
20,falsch,Tritt,9.7411,10
