ausgabe_nr,jahrgang,datum,datum_iso,wochentag,seitenzahl,tokens_gesamt,tokens_gefiltert,dateiname_txt,dateiname_pdf,ocr_cer,ocr_wer
1,1929,28. April 1929,1929-04-28,Sonntag,19,10393,3542,OCR 1. 1929 komplett Stadtwächter.txt,OCR 1. 1929 komplett Stadtwächter.pdf,7.68,25.84
2,1929,5. Mai 1929,1929-05-05,Sonntag,17,9579,3289,OCR 2 1929 Ausgabe Stadtwächter.txt,OCR 2 1929 Ausgabe Stadtwächter.pdf,,
3,1929,12. Mai 1929,1929-05-12,Sonntag,18,10090,3391,OCR 3 1929 komplett Stadtwächter.txt,OCR 3 1929 komplett Stadtwächter.pdf,,
4,1929,19. Mai 1929,1929-05-19,Sonntag,19,10343,3478,OCR 4 1929 komplett Stadtwächter.txt,OCR 4 1929 komplett Stadtwächter.pdf,,
5,1929,26. Mai 1929,1929-05-26,Sonntag,23,10067,3378,OCR 5. 1929 komplett Stadtwächter.txt,OCR 5. 1929 komplett Stadtwächter.pdf,,
6,1929,2. Juni 1929,1929-06-02,Sonntag,,10468,3547,6. Korrekt 1929 OCR.txt,,6.29,24.21
7,1929,9. Juni 1929,1929-06-09,Sonntag,,9452,3166,7. Ausgabe 1929 korrekt.txt,,,
9,1929,23. Juni 1929,1929-06-23,Sonntag,18,9715,3215,OCR 9. 1929 korrekt.txt,OCR 9. 1929 korrekt.pdf,,
10,1929,30. Juni 1929,1929-06-30,Sonntag,,10405,3501,OCR 10 1929 Ausgabe.txt,,,
11,1929,7. Juli 1929,1929-07-07,Sonntag,21,11077,3704,OCR 11 1929 komplett.txt,OCR 11 1929 komplett.pdf,,
12,1929,14. Juli 1929,1929-07-14,Sonntag,19,10760,3485,OCR 12 1929 korrekt.txt,OCR 12 1929 korrekt.pdf,,
13,1929,21. Juli 1929,1929-07-21,Sonntag,20,10680,3498,OCR 13 1929 Korrekt.txt,OCR 13 1929 Korrekt.pdf,,
