Topic_Nr,Rang,Schluesselwort,Gewicht
1,1,märz,0.2226
1,2,ging,0.2054
1,3,page,0.1975
1,4,volksbegehren,0.1676
1,5,februar,0.1575
1,6,kartoffeln,0.1537
1,7,hafer,0.1485
1,8,staat,0.1478
1,9,sagte,0.1469
1,10,april,0.1445
1,11,stahlhelm,0.1396
1,12,weizen,0.1358
1,13,menke,0.1344
1,14,arzt,0.1334
1,15,kriegsbeschädigten,0.1324
2,1,oberbürgermeister,0.4924
2,2,jursch,0.2504
2,3,gericht,0.2067
2,4,johannisstr,0.1898
2,5,oberbürgermeisters,0.1887
2,6,villa,0.1788
2,7,bürgervorsteher,0.1654
2,8,gaertner,0.1494
2,9,staatsanwalt,0.1451
2,10,rechtsanwalt,0.1343
2,11,bürger,0.1284
2,12,redakteur,0.1263
2,13,simoneit,0.1223
2,14,angeklagten,0.1169
2,15,aufderheide,0.1161
3,1,siedlung,0.1764
3,2,stresemann,0.1753
3,3,hilferding,0.1623
3,4,republik,0.1599
3,5,jude,0.128
3,6,falscher,0.1242
3,7,august,0.1214
3,8,jüdischen,0.1141
3,9,reformmedizin,0.1131
3,10,tritt,0.1118
3,11,namen,0.1109
3,12,inflation,0.1098
3,13,klüngel,0.1098
3,14,nationalsozialisten,0.1069
3,15,arbeiter,0.1028
4,1,oktober,0.2346
4,2,brüning,0.2075
4,3,jüdischen,0.2017
4,4,konfektion,0.1909
4,5,november,0.1857
4,6,schweine,0.1757
4,7,nationalsozialisten,0.1738
4,8,weizen,0.1699
4,9,serienwaren,0.1659
4,10,roggen,0.1647
4,11,jüdische,0.1628
4,12,hafer,0.1625
4,13,regierung,0.1527
4,14,kälber,0.1524
4,15,simoneit,0.1318
5,1,pfund,0.1552
5,2,telefon,0.1418
5,3,magistrat,0.1363
5,4,rathause,0.121
5,5,kollege,0.1206
5,6,bürgervorsteher,0.1076
5,7,billig,0.1035
5,8,bürger,0.1025
5,9,bankier,0.0992
5,10,young,0.0963
5,11,auswahl,0.0962
5,12,oberbürgermeister,0.0961
5,13,arbeiter,0.0946
5,14,dose,0.0923
5,15,johannisstraße,0.0893
6,1,laer,0.4131
6,2,gersie,0.3333
6,3,aufderheide,0.1807
6,4,amelingmeyer,0.1498
6,5,magistrat,0.144
6,6,kritiker,0.1391
6,7,gericht,0.1356
6,8,januar,0.1235
6,9,baukommission,0.1197
6,10,bauleitung,0.1175
6,11,hafer,0.1165
6,12,publikum,0.1134
6,13,firma,0.1115
6,14,fahnen,0.1098
6,15,remarque,0.1093
7,1,oberbürgermeister,0.2502
7,2,beschlagnahme,0.2487
7,3,magistrat,0.2436
7,4,gebot,0.2073
7,5,detaillisten,0.1975
7,6,elstermann,0.1895
7,7,stadtarzt,0.1693
7,8,fiat,0.1625
7,9,kaufen,0.1546
7,10,antragsteller,0.1323
7,11,zeitung,0.1231
7,12,februar,0.1202
7,13,bürgervorsteher,0.116
7,14,arbeiter,0.1134
7,15,einstweiligen,0.1115
