Dateiname,Dominant_Topic,Gewicht
01. Ausgabe 1930.txt,5,0.2843
01. Ausgabe 1931-1.txt,6,0.2403
02. Ausgabe 1931-1.txt,5,0.1258
03. Ausgabe 1931-1.txt,1,0.1701
04. Ausgabe 1931.txt,6,0.2147
05. Ausgabe 1930-1.txt,7,0.2029
05. Ausgabe 1931.txt,6,0.2298
06. Ausgabe 1930.txt,6,0.5992
06. Ausgabe 1931-1.txt,6,0.5992
07. Ausgabe 1930-1.txt,7,0.4381
07. Ausgabe 1931-1.txt,1,0.1715
08. Ausgabe 1930-1.txt,7,0.6005
08. Ausgabe 1930.txt,7,0.6005
08. Ausgabe 1931-1.txt,6,0.1849
09. Ausgabe 1930-1.txt,7,0.5903
09. Ausgabe 1930-2.txt,7,0.5903
09. Ausgabe 1931-1.txt,1,0.1658
10. Ausgabe 1930.txt,7,0.3019
10. Ausgabe 1931.txt,6,0.1887
11. Ausgabe 1930.txt,7,0.2273
11. Ausgabe 1931-1.txt,1,0.2472
12. Ausgabe 1930.txt,5,0.2581
12. Ausgabe 1931-1.txt,6,0.2131
13. Ausgabe 1930.txt,5,0.1526
13. Ausgabe 1931-1.txt,1,0.1722
14. Ausgabe 1930-1.txt,5,0.1964
14. Ausgabe 1931-1.txt,6,0.2195
15. Ausgabe 1930-2.txt,2,0.3238
15. Ausgabe 1931-2.txt,1,0.2665
16. Ausgabe 1929 OCR korrekt.txt,3,0.4127
16. Ausgabe 1930-1.txt,2,0.215
16. Ausgabe 1931-2.txt,1,0.2552
16. Ausgabe OCR korrekt.txt,3,0.4127
17. Ausgabe 1930.txt,2,0.2276
17. Ausgabe 1931-1.txt,1,0.2788
18. Ausgabe 1930-1.txt,2,0.1811
18. Ausgabe 1931.txt,1,0.3025
19. Ausgabe 1931-1.txt,1,0.3107
20. Ausgabe 1930.txt,2,0.5244
20. Ausgabe 1931-1.txt,1,0.2702
21. Ausgabe 1930.txt,2,0.4605
21. Ausgabe 1931-1.txt,1,0.2921
22. Ausgabe 1930.txt,2,0.4033
