Dateiname,OCR_Qualitaet
01. Ausgabe 1930.txt,0.9
01. Ausgabe 1931-1.txt,0.9
02. Ausgabe 1931-1.txt,0.9
03. Ausgabe 1931-1.txt,0.9
04. Ausgabe 1931.txt,0.9
05. Ausgabe 1930-1.txt,0.9
05. Ausgabe 1931.txt,0.9
06. Ausgabe 1930.txt,0.9
06. Ausgabe 1931-1.txt,0.9
07. Ausgabe 1930-1.txt,0.9
07. Ausgabe 1931-1.txt,0.9
08. Ausgabe 1930-1.txt,0.9
08. Ausgabe 1930.txt,0.9
08. Ausgabe 1931-1.txt,0.9
09. Ausgabe 1930-1.txt,0.9
09. Ausgabe 1930-2.txt,0.9
09. Ausgabe 1931-1.txt,0.9
10. Ausgabe 1930.txt,0.9
10. Ausgabe 1931.txt,0.9
11. Ausgabe 1930.txt,0.9
11. Ausgabe 1931-1.txt,0.9
12. Ausgabe 1930.txt,0.9
12. Ausgabe 1931-1.txt,0.9
13. Ausgabe 1930.txt,0.9
13. Ausgabe 1931-1.txt,0.9
14. Ausgabe 1930-1.txt,0.9
14. Ausgabe 1931-1.txt,0.9
15. Ausgabe 1930-2.txt,0.9
15. Ausgabe 1931-2.txt,0.9
16. Ausgabe 1929 OCR korrekt.txt,0.9
16. Ausgabe 1930-1.txt,0.9
16. Ausgabe 1931-2.txt,0.9
16. Ausgabe OCR korrekt.txt,0.9
17. Ausgabe 1930.txt,0.9
17. Ausgabe 1931-1.txt,0.9
18. Ausgabe 1930-1.txt,0.9
18. Ausgabe 1931.txt,0.9
19. Ausgabe 1931-1.txt,0.9
20. Ausgabe 1930.txt,0.9
20. Ausgabe 1931-1.txt,0.9
21. Ausgabe 1930.txt,0.9
21. Ausgabe 1931-1.txt,0.9
22. Ausgabe 1930.txt,0.9
22. Ausgabe 1931-1.txt,0.9
23. Ausgabe 1930.txt,0.9
23. Ausgabe 1931-1.txt,0.9
24. Ausgabe 1930.txt,0.9
24. Ausgabe 1931-1.txt,0.9
25. Ausgabe 1930.txt,0.9
25_26 Ausgabe 1931.txt,0.9
26. Ausgabe 1930.txt,0.9
27. Ausgabe 1930.txt,0.9
27_28. Ausgabe 1931.txt,0.9
28. Ausgabe 1930.txt,0.9
29. Ausgabe 1930.txt,0.9
29. Ausgabe 1931.txt,0.9
30. Ausgaabe 1930.txt,0.9
30. Ausgabe 1931.txt,0.9
31. Ausgabe 1930.txt,0.9
31. Ausgabe 1931.txt,0.9
32. Ausgabe 1930.txt,0.9
32. Ausgabe 1931.txt,0.9
33. Ausgabe 1930.txt,0.9
33. Ausgabe 1931.txt,0.9
34. Ausgabe 1930.txt,0.9
34a Ausgabe 1930-1.txt,0.9
35. Ausgabe 1930-1.txt,0.9
36. Ausgabe 1930.txt,0.9
37. Ausgabe 1930.txt,0.9
38. Ausgabe 1930.txt,0.9
39. Ausgabe 1930.txt,0.9
40. Ausgabe 1930.txt,0.9
41. Ausgabe 1930.txt,0.9
42. Ausgabe 1930.txt,0.9
43. Ausgabe 1930.txt,0.9
44. Ausgabe 1930.txt,0.9
45. Ausgabe 1930.txt,0.9
46. Ausgabe 1930.txt,0.9
47. Ausgabe 1930.txt,0.9
48. Ausgabe 1930.txt,0.9
49. Ausgabe 1930.txt,0.9
50. Ausgabe 1930.txt,0.9
50a Ausgabe 1930.txt,0.9
52. Ausgabe 1930.txt,0.9
53. Ausgaben 1930.txt,0.9
54. Ausgabe 1930.txt,0.9
55. Ausgabe 1930.txt,0.9
56. Ausgabe 1930-1.txt,0.9
56. Ausgabe 1930.txt,0.9
57. Ausgabe 1930.txt,0.9
58. Ausgabe 1930.txt,0.9
59. Ausgabe 1930.txt,0.9
6. Korrekt 1929 OCR.txt,0.9
60. Ausgabe 1930.txt,0.9
61. Ausgabe 1930.txt,0.9
62. Ausgabe 1930.txt,0.9
63. Ausgabe 1930.txt,0.9
64_65. Ausgabe 1930.txt,0.9
66. Ausgabe 1930.txt,0.9
7. Ausgabe 1929 korrekt.txt,0.9
OCR 1. 1929 komplett Stadtwächter.txt,0.9
OCR 10 1929 Ausgabe.txt,0.9
OCR 11 1929 komplett.txt,0.9
OCR 12 1929 korrekt.txt,0.9
OCR 13 1929 Korrekt.txt,0.9
OCR 14 1929 korrekt.txt,0.9
OCR 15 1929 korrekt.txt,0.9
OCR 17. 1929 Ausgabe korrekt.txt,0.9
OCR 18. 1929 Ausgabe korrekt.txt,0.9
OCR 19. 1929 Ausgabe korrekt.txt,0.9
OCR 19. 1930 Ausgabe.txt,0.9
OCR 2 1929 Ausgabe Stadtwächter.txt,0.9
OCR 2. Ausgabe 1930.txt,0.9
OCR 20. 1929 Ausgabe.txt,0.9
OCR 21. 1929 Ausgabe.txt,0.9
OCR 22. 1929 Ausgabe.txt,0.9
OCR 23. 1929 Ausgabe.txt,0.9
OCR 24. 1929 Ausgabe.txt,0.9
OCR 25. 1929 Ausgabe.txt,0.9
OCR 26. 1929 Ausgabe.txt,0.9
OCR 27. 1929 Ausgabe.txt,0.9
OCR 28. 1929 Ausgabe.txt,0.9
OCR 29. 1929 Ausgabe.txt,0.9
OCR 3 1929 komplett Stadtwächter.txt,0.9
OCR 3. Ausgabe 1930.txt,0.9
OCR 30. 1929 Ausgabe.txt,0.9
OCR 31. 1929 Ausgabe.txt,0.9
OCR 32. 1929 Ausgabe-1.txt,0.9
OCR 33. 1929 Ausgabe.txt,0.9
OCR 34. 1929 Ausgabe.txt,0.9
OCR 35. 1929 Ausgabe .txt,0.9
