Dateiname,Jahr,Gesamtwoerter,jude,juden,jüdisch,jüdische,judentum,judenschaft,antisemit,antisemitisch,antisemitismus,rasse,rassisch,völkisch,volksgenosse,parasit,schmarotzer,ungeziefer,bolschewismus,marxismus,kommunismus,nationalsozialist,nsdap,hitler,jude_ppm,juden_ppm,jüdisch_ppm,jüdische_ppm,judentum_ppm,judenschaft_ppm,antisemit_ppm,antisemitisch_ppm,antisemitismus_ppm,rasse_ppm,rassisch_ppm,völkisch_ppm,volksgenosse_ppm,parasit_ppm,schmarotzer_ppm,ungeziefer_ppm,bolschewismus_ppm,marxismus_ppm,kommunismus_ppm,nationalsozialist_ppm,nsdap_ppm,hitler_ppm
01. Ausgabe 1930.txt,1930,9636,3,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,311.3,1141.6,0.0,103.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.8,207.6,0.0,0.0
01. Ausgabe 1931-1.txt,1931,5800,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,0,0.0,344.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.4,0.0,0.0,0.0,0.0,0.0,0.0,172.4,689.7,0.0
02. Ausgabe 1931-1.txt,1931,10410,4,14,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,2,384.2,1344.9,0.0,192.1,0.0,0.0,0.0,0.0,0.0,192.1,0.0,0.0,192.1,0.0,0.0,0.0,0.0,192.1,0.0,0.0,0.0,192.1
03. Ausgabe 1931-1.txt,1931,10098,0,3,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,297.1,0.0,297.1,0.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04. Ausgabe 1931.txt,1931,8872,15,10,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1690.7,1127.1,112.7,112.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.7,0.0,0.0,112.7,0.0,0.0,112.7,112.7
05. Ausgabe 1930-1.txt,1930,4950,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,404.0,0.0,202.0,404.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05. Ausgabe 1931.txt,1931,9770,6,37,0,5,1,0,0,0,0,4,0,0,1,0,0,0,0,0,0,2,1,0,614.1,3787.1,0.0,511.8,102.4,0.0,0.0,0.0,0.0,409.4,0.0,0.0,102.4,0.0,0.0,0.0,0.0,0.0,0.0,204.7,102.4,0.0
06. Ausgabe 1930.txt,1930,10171,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,196.6,0.0,98.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06. Ausgabe 1931-1.txt,1931,10171,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,196.6,0.0,98.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07. Ausgabe 1930-1.txt,1930,7251,4,8,1,3,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,551.6,1103.3,137.9,413.7,137.9,0.0,0.0,0.0,0.0,689.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
