Kollokator,Freq,Freq_Koll,PMI,t-Score,G2,MI3
jude,102,438,8.1115,10.063,973.6529,21.4563
juden,97,1077,6.7409,9.7568,726.9275,19.9408
kaufen,72,273,8.291,8.4582,706.9269,20.6309
nie,76,497,7.5047,8.6698,654.0001,20.0005
gebot,49,84,9.4362,6.9899,580.7445,20.6656
deutschen,57,1267,5.7395,7.4085,345.4552,17.4053
deutsche,49,971,5.9052,6.8832,308.1516,17.1346
jüdischen,41,453,6.748,6.3436,306.7416,17.4631
jüdische,37,299,7.1993,6.0414,301.0458,17.6182
rasse,24,102,8.1264,4.8814,228.8887,17.2963
staatsbürger,18,33,9.3394,4.2361,209.5513,17.6792
geschäfte,23,130,7.715,4.773,204.719,16.7622
volk,32,908,5.3873,5.5217,178.0035,15.3873
christen,19,99,7.8324,4.3398,172.4882,16.3283
glaubens,15,35,8.9914,3.8654,164.7122,16.8052
berliner,21,247,6.6578,4.5372,154.2181,15.4424
sei,28,862,5.2696,5.1543,151.1763,14.8844
römisch,12,19,9.5509,3.4595,144.9747,16.7208
presse,25,644,5.5268,4.8915,143.8138,14.8145
deutscher,19,209,6.7544,4.3185,142.155,15.2503
zeitung,22,519,5.6537,4.5972,130.4016,14.5725
hugo,13,53,8.1864,3.5932,125.1559,15.5872
warenhäuser,14,78,7.7358,3.7241,125.0024,15.3505
deutschland,22,598,5.4493,4.5831,124.1728,14.3681
geld,21,508,5.6175,4.4892,123.4102,14.4021
herr,27,1269,4.6592,4.9905,123.341,14.169
richter,16,159,6.901,3.9665,123.0785,14.901
dur,21,552,5.4976,4.4811,119.9239,14.2823
hilferding,13,77,7.6475,3.5876,114.3277,15.0484
berlin,19,462,5.61,4.2697,111.4454,14.1059
niemals,14,133,6.9659,3.7117,109.0026,14.5806
firmen,13,94,7.3597,3.5836,108.7265,14.7606
ganz,23,1023,4.7388,4.6162,107.5016,13.7859
geschäften,12,67,7.7327,3.4478,107.079,14.9026
einfluss,12,76,7.5509,3.4456,103.7818,14.7208
namen,16,294,6.0142,3.9381,102.8549,14.0142
steht,18,480,5.4769,4.1474,102.2542,13.8167
kapitalismus,9,22,8.9243,2.9938,97.7221,15.2642
marx,9,23,8.8602,2.9935,96.7018,15.2
sozialismus,9,23,8.8602,2.9935,96.7018,15.2
firma,15,275,6.0174,3.8132,96.4895,13.8312
seite,20,835,4.8301,4.3149,95.9276,13.474
arbeiter,17,480,5.3944,4.0251,94.6317,13.5693
mark,21,1068,4.5455,4.3863,92.6726,13.3301
cohn,9,31,8.4296,2.9913,90.153,14.7694
stadt,30,3230,3.4634,4.9807,90.014,13.2772
