Rang,Kollokator,Wortklasse,Häufigkeit,Anteil_%
1,deutsch,Adjektiv,41,2.48
2,arbeiterpartei,Substantiv,40,2.42
3,partei,Substantiv,24,1.45
4,bewegung,Substantiv,20,1.21
5,versammlung,Substantiv,16,0.97
6,kommunist,Substantiv,15,0.91
7,sieg,Substantiv,9,0.55
8,stimme,Substantiv,8,0.48
9,abgeordneter,Substantiv,8,0.48
10,berlin,Eigenname,8,0.48
11,sozialdemokrat,Substantiv,7,0.42
12,opposition,Substantiv,7,0.42
13,deutschnational,Substantiv,7,0.42
14,liste,Substantiv,7,0.42
15,antrag,Substantiv,7,0.42
16,hitlerbewegung,Substantiv,7,0.42
17,stadtwächter,Substantiv,6,0.36
18,erklären,Verb,6,0.36
19,sprechen,Verb,6,0.36
20,kommunistisch,Adjektiv,6,0.36
21,minister,Substantiv,6,0.36
22,volk,Substantiv,6,0.36
23,kampf,Substantiv,6,0.36
24,überfall,Substantiv,6,0.36
25,stellen,Verb,5,0.3
26,reichstag,Substantiv,5,0.3
27,berliner,Adjektiv,5,0.3
28,frau,Substantiv,5,0.3
29,ueberfälle,Substantiv,5,0.3
30,mann,Substantiv,5,0.3
31,anwachsen,Substantiv,5,0.3
32,böse,Adjektiv,5,0.3
33,hitler,Eigenname,5,0.3
34,vertreter,Substantiv,5,0.3
35,gruppe,Substantiv,5,0.3
36,osnabrück,Substantiv,5,0.3
37,massenversammlung,Substantiv,5,0.3
38,erfolg,Substantiv,4,0.24
39,inrich,Eigenname,4,0.24
40,presse,Substantiv,4,0.24
41,stehen,Verb,4,0.24
42,lassen,Verb,4,0.24
43,führer,Substantiv,4,0.24
44,zentrum,Substantiv,4,0.24
45,schreiben,Verb,4,0.24
46,letzter,Adjektiv,4,0.24
47,landtag,Substantiv,4,0.24
48,folgend,Adjektiv,4,0.24
49,einzig,Adverb,4,0.24
50,wählen,Verb,4,0.24
