Nr,Datei,Treffer-Wortform,Kontext
1,01. Ausgabe 1930.txt,Nationalsozialist,"Einen wenig schönen Jahreswechsel erlebte ein Nationalsozialist , der wegen seiner 
 Gesinnung"
2,01. Ausgabe 1930.txt,Nationalsozialist,"in die linke Hand . Der Nationalsozialist , ein kräftiger Mensch , der"
3,01. Ausgabe 1931-1.txt,Nationalsozialisten,"
 Sie benennt einen Disput des Nationalsozialisten Dr. Feder mit dem Sozialdemokraten Dr."
4,01. Ausgabe 1931-1.txt,Nationalsozialisten,"daran , daß zwischen einem 
 Nationalsozialisten und einem Sozialdemokraten Abgründe der Weltanschauung"
5,01. Ausgabe 1931-1.txt,Nationalsozialisten,", jetzt möchte man mit den Nationalsozialisten anbändeln . Wenn Alwine 
 Wellmann"
6,01. Ausgabe 1931-1.txt,Nationalsozialist,"nicht begriffen hat , daß kein Nationalsozialist dran denkt , jemals der 
"
7,02. Ausgabe 1931-1.txt,Nationalsozialisten,"“ Wenn man heute noch den Nationalsozialisten und dem 
 „ Stadt-Wächter “"
8,05. Ausgabe 1930-1.txt,Nationalsozialisten,"die ihm 
 unbequemen Ausführungen des Nationalsozialisten abfertigte . Dieser stellte entsprechend 
"
9,05. Ausgabe 1931.txt,Nationalsozialisten,"gleiche , was Juden 
 schon Nationalsozialisten gegenüber erklärten : „ Wenn ich"
10,05. Ausgabe 1931.txt,Nationalsozialist,"Jude wäre , würde ich 
 Nationalsozialist sein . “ Solche Höflichkeit kostet"
11,05. Ausgabe 1931.txt,Nationalsozialist,"schon noch werden . 
 Ein Nationalsozialist Präsident der Bremer Bürgerschaft 
 In"
12,05. Ausgabe 1931.txt,Nationalsozialisten,") mit den Stimmen der 
 Nationalsozialisten , Deutschnationalen , Wirtschaftspartei , Konservative"
13,06. Ausgabe 1930-1.txt,nationalsozialistische,"
 Wirklichkeit war es nicht der nationalsozialistische Wahlsieg , der die Zurückziehung der"
14,06. Ausgabe 1930-1.txt,nationalsozialistischen,", daß trotz der enormen 
 nationalsozialistischen Erfolge – oder gerade deshalb –"
15,06. Ausgabe 1930-1.txt,Nationalsozialisten,"nur noch bei Veranstaltungen der 
 Nationalsozialisten antreffen kann . Am Dienstag dieser"
16,06. Ausgabe 1930.txt,nationalsozialistische,"
 Wirklichkeit war es nicht der nationalsozialistische Wahlsieg , der die Zurückziehung der"
17,06. Ausgabe 1930.txt,nationalsozialistischen,", daß trotz der enormen 
 nationalsozialistischen Erfolge – oder gerade deshalb –"
18,06. Ausgabe 1930.txt,Nationalsozialisten,"nur noch bei Veranstaltungen der 
 Nationalsozialisten antreffen kann . Am Dienstag dieser"
19,07. Ausgabe 1931-1.txt,Nationalsozialisten,"In meiner 
 Erwiderung bei den Nationalsozialisten zu meiner Weihnachtsrede habe ich mich"
20,07. Ausgabe 1931-1.txt,Nationalsozialisten,"verboten hatte , bei den 
 Nationalsozialisten zu sprechen . Ich hatte mir"
21,07. Ausgabe 1931-1.txt,Nationalsozialisten,"einheimsen zu können . 
 Einem Nationalsozialisten , den dieser Schwindler vorerst als"
22,07. Ausgabe 1931-1.txt,Nationalsozialisten,"schon wieder zu erklären , diesen Nationalsozialisten als 
 Abonnenten gewonnen zu haben"
23,08. Ausgabe 1931-1.txt,Nationalsozialisten,"bewusst Tatsachen verdreht , um den Nationalsozialisten eins 
 auszuwischen . Dieses Schundblatt"
24,08. Ausgabe 1931-1.txt,Nationalsozialisten,"Himmel herunterlügt und 
 auf die Nationalsozialisten schimpft . Auch die Reiberei am"
25,09. Ausgabe 1931-1.txt,Nationalsozialisten,"Abonnenten . Die Stadtwächterpartei und die Nationalsozialisten ähneln dem 
 Donnerstag-Abonnenten . Sie"
26,09. Ausgabe 1931-1.txt,Nationalsozialist,"kochen . 
 Inrich ist nicht Nationalsozialist Die „ Freie Presse “ beschäftigt"
27,09. Ausgabe 1931-1.txt,nationalsozialistischen,"mit Herrn Fritz Inrich und seiner nationalsozialistischen Zeitungsgründung 
 in Bremen und bezeichnet"
28,09. Ausgabe 1931-1.txt,Nationalsozialisten,Bremen und bezeichnet Herrn Inrich als Nationalsozialisten . Das ist Herr Inrich nie
29,10. Ausgabe 1931.txt,Nationalsozialisten,"
 behauptete , sie stünde den Nationalsozialisten nahe ! Sie hätte gedroht ,"
30,10. Ausgabe 1931.txt,Nationalsozialisten,"hätte gedroht , ihn durch 
 Nationalsozialisten überfallen zu lassen , nur weil"
31,10. Ausgabe 1931.txt,Nationalsozialisten,"Presse darob anstimmte . Die 
 Nationalsozialisten , besonders die SA , wurden"
32,10. Ausgabe 1931.txt,nationalsozialistischer,"des Saalschutzes wie der Abwehr 
 nationalsozialistischer oder kommunistischer Angriffe ausgebildet und ausgerüstet"
33,10. Ausgabe 1931.txt,Nationalsozialisten,"davon , das Reichsbanner werde die Nationalsozialisten 
 nicht mit Blumen in den"
34,11. Ausgabe 1931-1.txt,Nationalsozialisten,", die Volkspartei und die 
 Nationalsozialisten . Die Aussichten für das Volksbegehren"
35,12. Ausgabe 1930.txt,Nationalsozialistische,"den Nachkriegsjahren ist es besonders die Nationalsozialistische 
 Deutsche Arbeiterpartei unter ihrem Führer"
36,12. Ausgabe 1930.txt,Nationalsozialistische,"gestiegen . – G. M. 
 Nationalsozialistische Monatshefte 
 Wie uns vom Verlag"
37,12. Ausgabe 1930.txt,nationalsozialistischer,"gestellt , die geistigen Grundlagen 
 nationalsozialistischer Weltanschauung zu vertiefen . Ein dauernder"
38,12. Ausgabe 1931-1.txt,nationalsozialistische,"vor sechs Jahren etwa die erste nationalsozialistische 
 Versammlung auf dem Brinkhügel abhielt"
39,12. Ausgabe 1931-1.txt,nationalsozialistischen,"die Versammlung . Wie er der nationalsozialistischen Idee im Niedersachsenland die 
 Bahn"
40,12. Ausgabe 1931-1.txt,Nationalsozialisten,"nationale Opposition , 
 Deutschnationale , Nationalsozialisten und Landvolk , den Saal verlassen"
41,13. Ausgabe 1931-1.txt,Nationalsozialisten,"er meint , dass die 
 Nationalsozialisten unter dem Einfluss irgendeines Führers ,"
42,13. Ausgabe 1931-1.txt,Nationalsozialisten,"dass bei dem temperamentvollen Vorgehen der Nationalsozialisten auch ihrerseits etwas 
 geschehen müsse"
43,13. Ausgabe 1931-1.txt,Nationalsozialisten,"nun ein wenig anders . Die Nationalsozialisten 
 sind nicht etwa aus dem"
44,13. Ausgabe 1931-1.txt,Nationalsozialisten,"sogar sein , dass diese den Nationalsozialisten 
 nicht einmal klar sind ."
45,13. Ausgabe 1931-1.txt,Nationalsozialisten,"so aus , als wollten die Nationalsozialisten mit 
 dem Zentrum zusammen sich"
46,14. Ausgabe 1930-1.txt,nationalsozialistische,"zeigen , wie recht die 
 nationalsozialistische Wirtschaftlehre hat , wenn sie behauptet"
