Nr,Datei,Treffer-Wortform,Kontext
1,01. Ausgabe 1930.txt,Sozialdemokratischen,"“ , der Lautsprecher 
 der Sozialdemokratischen Partei Deutschlands , stellt das bereits"
2,01. Ausgabe 1930.txt,sozialdemokratischen,"nichts . Das Abtreten des 
 sozialdemokratischen Finanzministers hat andere Gründe , die"
3,01. Ausgabe 1931-1.txt,Sozialdemokratie,"die Adenauer 
 ergebenen Parteien , Sozialdemokratie und Zentrum , beschlossen haben ."
4,01. Ausgabe 1931-1.txt,sozialdemokratischem,"zwölfjährigem Phrasentum , nach 12-jährigem 
 sozialdemokratischem „ Segen “ , wie gesagt"
5,01. Ausgabe 1931-1.txt,sozialdemokratischen,"findet man in diesem so echt sozialdemokratischen Phrasentum . 
 Bieder und schlicht"
6,01. Ausgabe 1931-1.txt,Sozialdemokratie,"dank der öfter erwähnten 12 Jahre Sozialdemokratie , glänzend bergab . Auch diese"
7,01. Ausgabe 1931-1.txt,Sozialdemokraten,"des Nationalsozialisten Dr. Feder mit dem Sozialdemokraten Dr. 
 Nölting . Ach Alwine"
8,02. Ausgabe 1931-1.txt,Sozialdemokratie,"die Schuld der Führer der deutschen Sozialdemokratie an der deutschen 
 Niederlage ."
9,02. Ausgabe 1931-1.txt,Sozialdemokraten,", wie gerade durch die 
 Sozialdemokraten im Verein mit ihm die Revolutionierung"
10,02. Ausgabe 1931-1.txt,sozialdemokratischen,"nagelt die 
 Schuld der damaligen sozialdemokratischen Führer unwiderlegbar fest . Besonders im"
11,02. Ausgabe 1931-1.txt,Sozialdemokraten,"enger Verbindung mit den deutschen 
 Sozialdemokraten . „ Am schwersten , “"
12,02. Ausgabe 1931-1.txt,sozialdemokratischen,"Führer und anerkannte 
 Chef der sozialdemokratischen Partei . “ Desgranges war selbst"
13,03. Ausgabe 1931-1.txt,Sozialdemokratische,"in Ahlen 
 i. W. — Sozialdemokratische Kirchenhetze — Vernichtung der Tabakindustrie —"
14,03. Ausgabe 1931-1.txt,Sozialdemokratie,"politischen Ehe zwischen Zentrum und 
 Sozialdemokratie gekommen . 
 Ich sage widernatürlich"
15,03. Ausgabe 1931-1.txt,sozialdemokratischen,"hat es auf 
 Grund seines sozialdemokratischen Parteibuches Herr Tempel gebracht . Warum"
16,03. Ausgabe 1931-1.txt,Sozialdemokratische,"Behörden außerordentlich unbequem ist . 
 Sozialdemokratische Kirchenhetze In der Berliner Parteibuchhandlung der"
17,03. Ausgabe 1931-1.txt,Sozialdemokratie,"an Schulter mit der 
 judenfreundlichen Sozialdemokratie . 
 Taschendiebe Die Redensart :"
18,04. Ausgabe 1931.txt,Sozialdemokraten,"Gottlosen , die 
 Freidenker , Sozialdemokraten oder Kommunisten verantwortlich zu machen ."
19,05. Ausgabe 1930-1.txt,Sozialdemokraten,"wie auch seitens des Rathaus-Sammelsuriums von Sozialdemokraten , Zentrum und 
 „ Bürgerlichen"
20,06. Ausgabe 1930-1.txt,sozialdemokratischen,"Der Gipfel der Geschmacklosigkeit In dem sozialdemokratischen Hildesheimer „ Volksblatt “ 
 fand"
21,06. Ausgabe 1930.txt,sozialdemokratischen,"Der Gipfel der Geschmacklosigkeit In dem sozialdemokratischen Hildesheimer „ Volksblatt “ 
 fand"
22,07. Ausgabe 1931-1.txt,Sozialdemokratie,"Verrates , unter der Führung der Sozialdemokratie zustande 
 gekommen , ist der"
23,07. Ausgabe 1931-1.txt,Sozialdemokratie,", der sie der Lehre der Sozialdemokratie gemäß 
 huldigen , schließlich nichts"
24,07. Ausgabe 1931-1.txt,sozialdemokratischen,"diesem Plan schrieb das Zentralorgan der sozialdemokratischen Partei in Nr. 61 vom 
"
25,07. Ausgabe 1931-1.txt,Sozialdemokratie,"der unzähligen Blüten des Zentralorgans der Sozialdemokratie . 
 --- SEITE 4 ---"
26,07. Ausgabe 1931-1.txt,sozialdemokratische,"mir damals gesagt : Wenn die sozialdemokratische 
 Presse einen aufrichtigen , gläubigen"
27,08. Ausgabe 1930-1.txt,Sozialdemokraten,"die Einsichtnahme zu gestatten sei . Sozialdemokraten , Zentrum und 
 „ Bürgerliche"
28,08. Ausgabe 1930-1.txt,Sozialdemokraten,"Das gilt allen : Magistrat , Sozialdemokraten , Zentrum und Bürgerblock . 
"
29,08. Ausgabe 1930-1.txt,Sozialdemokraten,"
 Auf die albernen Bemerkungen eines Sozialdemokraten Haas einzugehen , lohnt sich nun"
30,08. Ausgabe 1930-1.txt,Sozialdemokrat,"gutes Beispiel 
 Robert Schmidt , Sozialdemokrat und bereits mehrfach Minister , eine"
31,08. Ausgabe 1930-1.txt,sozialdemokratischen,"in die Arbeiterbewegung . Die 
 sozialdemokratischen Redakteure trieben mit dem arbeitenden Volke"
32,08. Ausgabe 1930.txt,Sozialdemokraten,"die Einsichtnahme zu gestatten sei . Sozialdemokraten , Zentrum und 
 „ Bürgerliche"
33,08. Ausgabe 1930.txt,Sozialdemokraten,"Das gilt allen : Magistrat , Sozialdemokraten , Zentrum und Bürgerblock . 
"
