jahr,dateiname,polaritaet,satz
1930,01. Ausgabe 1930.txt,0.0,"Die etwas eigenartigen Finanzanschauungen hat
der Oberbürgermeister wohl von dem Juden Hilferding."
1930,01. Ausgabe 1930.txt,0.1333,"Der Wiener Jude Hilferding ist wieder in die
Arme seiner Partei getürmt, um weiter vom sicheren SPD-Bort aus das deutsche
Wirtschaftsleben untergraben zu helfen."
1930,01. Ausgabe 1930.txt,0.7,"Ist es
unumgänglich, dass ein galizischer Jude, der so beiläufig die Reichsfinanzen als
Trümmerhaufen hinterlässt, einfach mit Ministerpension in die Reihen seiner Partei
verschwindet und nun im Reichstag erneut die Geschicke des deutschen Volkes
mitbestimmt?"
1930,01. Ausgabe 1930.txt,0.0,"Den Juden
meiden Sie totsicher, wenn Sie Ihre Einkäufe bei unseren Inserenten machen!"
1930,01. Ausgabe 1930.txt,-0.35,Gebot: Nie beim Juden kaufen! 2.
1930,01. Ausgabe 1930.txt,-0.7,Gebot: Unter keinen Umständen beim Juden kaufen!
1930,01. Ausgabe 1930.txt,0.0,"Baptistenpriester und Juden
Auch die religiöse Zersplitterung in der evangelischen Kirche machen sich die Juden
zunutze."
1930,01. Ausgabe 1930.txt,1.0,"So empfiehlt ein Baptistenprediger seiner Gemeinde, auch im Juden den
„lieben“ Nächsten zu sehen; denn jede Hetze sei Sünde."
1930,01. Ausgabe 1930.txt,0.0,"Daran darf anscheinend niemand rütteln,
und die politische und wirtschaftliche Machtstellung der Juden ist demnach ein
Gottessegen."
1930,01. Ausgabe 1930.txt,0.0,"Der Rat der Weisen von Zion ist eine internationale
Geheimorganisation der Juden in der ganzen Welt."
1930,01. Ausgabe 1930.txt,0.0,"Eine jüdische Weltherrschaft ist erst nach der Zertrümmerung aller
christlich-nationalen Staaten möglich."
1930,01. Ausgabe 1930.txt,0.0,"Es ist notwendig,
dass diese Entwicklung in jüdischen Händen bleibt, um zu verhüten, dass sie in ihren
letzten Schlägen sich gegen uns selbst richte."
1930,01. Ausgabe 1930.txt,-0.1,"Wir erinnern daran,
dass es eine alte Prophezeiung gibt, dass nach einem großen Krieg der Jude in
Deutschland einen furchtbaren Bürgerkrieg anzetteln werde, dass es aber nach diesem

Bürgerkriege keinen Juden mehr in Deutschland gebe."
1930,01. Ausgabe 1930.txt,0.0,"Die jüdischen Abzahlungsgeschäfte
sind für die ärmere Bevölkerung allmählich eine Geißel geworden."
1930,01. Ausgabe 1930.txt,0.7,"Es ist unverständlich, dass solche jüdischen Firmen, deren Inhaber zumeist aus
Galizien, Polen, der Walachei oder woher kommen, sich überall im Deutschen Reich
breitmachen dürfen und wuchern, wie Unkraut zwischen Weizen."
1930,01. Ausgabe 1930.txt,0.0,"Ein sprechendes Beispiel geben uns die letzten Ereignisse in der Reichsregierung, die
zum Rücktritt des Juden Hilferding geführt haben."
1931,01. Ausgabe 1931-1.txt,0.0,"Stadtwächter-Anträge
Das Juden-Denkmal | Laer | Ackermann, wat seggste nu? | Verfassungs-Verletzung
Noskes
Wir beginnen in dieser Nummer mit der Veröffentlichung des Materials in Sachen Laer, die wir
laufend fortsetzen werden."
1931,01. Ausgabe 1931-1.txt,0.0,"Während sie mich mit einer Flut von Beleidigungsprozessen überschütteten – der stille
Ratgeber war bestimmt kein tiefer Denker, ich hab ihn nie dafür gehalten – und eine vom
jüdischen Geschäftsgeist vergiftete Presse gegen mich und meine Getreuen mobil machten,
dachten sie, mich in die Verteidigung zu drängen."
