Dateiname,Topic_ID,Wahrscheinlichkeit
01. Ausgabe 1930.txt,tm-de-all-v2.0_tp15_de,0.045
01. Ausgabe 1930.txt,tm-de-all-v2.0_tp89_de,0.045
01. Ausgabe 1930.txt,tm-de-all-v2.0_tp58_de,0.045
01. Ausgabe 1930.txt,tm-de-all-v2.0_tp26_de,0.027
01. Ausgabe 1930.txt,tm-de-all-v2.0_tp11_de,0.027
01. Ausgabe 1930.txt,tm-de-all-v2.0_tp85_de,0.027
01. Ausgabe 1931-1.txt,tm-de-all-v2.0_tp15_de,0.045
01. Ausgabe 1931-1.txt,tm-de-all-v2.0_tp89_de,0.045
01. Ausgabe 1931-1.txt,tm-de-all-v2.0_tp58_de,0.045
01. Ausgabe 1931-1.txt,tm-de-all-v2.0_tp26_de,0.027
01. Ausgabe 1931-1.txt,tm-de-all-v2.0_tp11_de,0.027
01. Ausgabe 1931-1.txt,tm-de-all-v2.0_tp85_de,0.027
02. Ausgabe 1931-1.txt,tm-de-all-v2.0_tp15_de,0.045
02. Ausgabe 1931-1.txt,tm-de-all-v2.0_tp89_de,0.045
02. Ausgabe 1931-1.txt,tm-de-all-v2.0_tp58_de,0.045
02. Ausgabe 1931-1.txt,tm-de-all-v2.0_tp26_de,0.027
02. Ausgabe 1931-1.txt,tm-de-all-v2.0_tp11_de,0.027
02. Ausgabe 1931-1.txt,tm-de-all-v2.0_tp85_de,0.027
03. Ausgabe 1931-1.txt,tm-de-all-v2.0_tp15_de,0.045
03. Ausgabe 1931-1.txt,tm-de-all-v2.0_tp89_de,0.045
03. Ausgabe 1931-1.txt,tm-de-all-v2.0_tp58_de,0.045
03. Ausgabe 1931-1.txt,tm-de-all-v2.0_tp26_de,0.027
03. Ausgabe 1931-1.txt,tm-de-all-v2.0_tp11_de,0.027
03. Ausgabe 1931-1.txt,tm-de-all-v2.0_tp85_de,0.027
04. Ausgabe 1931.txt,tm-de-all-v2.0_tp15_de,0.045
04. Ausgabe 1931.txt,tm-de-all-v2.0_tp89_de,0.045
04. Ausgabe 1931.txt,tm-de-all-v2.0_tp58_de,0.045
04. Ausgabe 1931.txt,tm-de-all-v2.0_tp26_de,0.027
04. Ausgabe 1931.txt,tm-de-all-v2.0_tp11_de,0.027
04. Ausgabe 1931.txt,tm-de-all-v2.0_tp85_de,0.027
05. Ausgabe 1930-1.txt,tm-de-all-v2.0_tp15_de,0.045
05. Ausgabe 1930-1.txt,tm-de-all-v2.0_tp89_de,0.045
05. Ausgabe 1930-1.txt,tm-de-all-v2.0_tp58_de,0.045
05. Ausgabe 1930-1.txt,tm-de-all-v2.0_tp26_de,0.027
05. Ausgabe 1930-1.txt,tm-de-all-v2.0_tp11_de,0.027
05. Ausgabe 1930-1.txt,tm-de-all-v2.0_tp85_de,0.027
