Rang,Name,Anmerkung,Nennungen
1,Schulenberg,,11
2,Th. Bünemann,,7
3,Dehne & Sopp,,7
4,Caroline Tweer,,7
5,Kartoffeln (Berlin,,5
6,Arbeitsloser Schlosser,,5
7,Franz Lippmann (Buerschestr. 103),,5
8,Adolf König,,5
9,Fl. 3,,5
10,Garage frei,,4
11,Heinrich Laumann,,4
12,Mantelhaus Strodthoff,christliches Geschäft,4
13,Mosbach,,4
14,Samson David,Judengeschäft,4
15,Otto Loeb,Judengeschäft,4
16,Bodden,,4
17,Weizen 274–276,,3
18,Humorist und Komiker empfiehlt sich zu Hochzeiten,,3
19,J. Bernat,,3
20,Herbert Cröplin,,3
21,Mantelhaus Strodthoff (Wittekindstr. 1),,3
22,Zur Butenburg (Gr. Gildewart 12),,3
23,Adolf Schäfer (Mühleneschweg 6),,3
24,Fahrradhaus Schinkel,,3
25,Alsberg,,3
26,Blank,,3
27,Wertheim,,3
28,Philipp,,3
29,Schönfeld,,3
30,Markus,,3
31,Troll & Co,,3
32,Alexander,,3
33,Frank,,3
34,Cantor,,3
35,Heymann,,3
36,Hut-Meyer,,3
37,Autovermietung Telefon 5410,,3
38,Neuanfertigung,,3
39,Chaiselongues,,3
40,Weizen 262,,2
41,Dr. Schierbaum-Tees und Mittel,,2
42,Zeitungs-Vertrieb Ludwig Mölk,,2
43,Zeitungshalle Neumarkt,,2
44,Zeitungshalle am Hasetor-Bahnhof,,2
45,Zeitungs-Vertrieb Rönker,,2
46,Buchhdl. Brinkmann,,2
47,Firma Rellensmann,,2
48,Firma Wollbrink,,2
49,Reform-Haus,,2
50,Karl Münter,,2
51,Neuauflage jetzt zu haben bei Ludwig,,2
52,Gottfried Karrenbrock,,2
53,Junger Malermeister führt Malerarbeiten aus,,2
54,Hypothekenkapital zum Neubau,,2
55,Rudolf Voß,,2
56,Reformhaus Osnabrück,,2
57,H. Pühringer,,2
58,Franz Lippmann,,2
59,F. Fritsch,,2
60,Weiße 1,,2
61,Justus Grewe,,2
62,Hans Pühringer,,2
63,Haushaltungsartikel,,2
64,F. Dorlars (Johannisstr. 5),,2
65,Wilh. Becker,,2
66,Haushaltungs-Artikel,,2
67,Schönborn,,2
68,Zur Butenburg,,2
69,Hypothekengeld u. Kredite an Beamte und Festbesoldete,,2
70,Wirtschaft W. Hellwig,,2
71,Tack,,2
72,W. Becker,christliches Geschäft,2
73,Vermietung auch an Selbstfahrer,,2
74,Telefon 5410,,2
75,Maßgeschäft,,2
76,Kohlen und Futterartikel,,2
77,Böttchermeister,,2
78,Täglich frisches Fleisch,,2
79,Mechanische Strickerei Bischoff,,2
80,Silbermann,,2
81,Schönhorn,,2
82,Hanseat,,2
83,Herm. Hackmann,,2
84,Telefon 5410. Herm. Hackmann,,2
85,Dampf-Vulkanisier- und Protektierwerk. Reparatur und,,2
86,Mit Einfahrt,,2
87,Kleine weiße Bank,,2
88,Alles staunt über A. Lindemann’s Nieren- und Blasentee,,2
89,Rechts- und Steuerberatung Th. Bünemann,,2
90,Sofas,,2
91,Annahmestelle für Gaben sind die unten genannten,,1
92,An Handwerker,,1
93,Sie fragen,,1
94,Ich bitte,,1
95,Dr. Schierbaum-Tees und Mittel streng nach Vorschrift,,1
96,Kochherd,,1
97,Anzeigenschluß für die nächste Nummer Donnerstag,,1
98,Damen-Hemden 1,,1
99,Kissenbezüge,,1
100,Für Eigenheime,,1
101,Nach Rezept Dr. Schierbaums für Husten und Heiserkeit,,1
102,Roggen mit Geruch 150–162 bis 162–163,,1
103,Weizen 273–275–280,,1
104,Wünscht stattliche Dame,,1
105,Junger Mann,,1
106,Zeitungshalle am Stadt-Theater,,1
107,Zeitungs-Agentur des Stadt-Wächter Schulte,,1
108,Sowie in der Geschäftsstelle des „Stadt-Wächter“,,1
109,Einzelmöbel und Sofas kaufen Sie gut u. preiswert im,,1
110,Weizen 264,,1
111,Roggen 161,,1
112,Weizen 272–274,,1
113,Ochsen 50–55,,1
