Rang,Name,Typ,Nennungen
1,Franz Lippmann,Person,23
2,Gottfried Karrenbrock,Person,22
3,Gersie,Person,18
4,Johannismauer,Person,17
5,Kamp,Person,17
6,Samson David,Person,15
7,Otto Loeb,Person,15
8,Bünemann,Person,15
9,Stadt-Wächter-Partei,Organisation,14
10,Hackmann,Person,14
11,Philipp,Person,13
12,Justus Grewe,Person,13
13,Dehne & Sopp,Organisation,13
14,Rezept Dr. Schierbaum's,Person,13
15,Maskenkostüme,Person,12
16,Franz Schulze,Person,12
17,Turmstr,Person,11
18,Ang,Organisation,11
19,Mantelhaus Strodthoff,Person,11
20,Drei-Stern-Verlag,Organisation,11
21,Bezugsquelle,Person,11
22,Elsa Buller,Person,10
23,F. Fritsch,Person,10
24,Liebigstr,Person,10
25,Karl Münter,Person,10
26,Schönfeld,Person,10
27,Alleinhersteller,Person,9
28,Bohmterstr,Person,9
29,Gegr,Person,9
30,Honorar,Person,9
31,Dunkmann,Person,9
32,Große Str,Organisation,9
33,Ernst Ehrlich,Person,9
34,Jursch,Person,9
35,Sozialdemokraten,Organisation,8
36,Cachenez,Person,8
37,Rezept Dr. Schierbaum’s für Husten,Person,8
38,Rezept Dr. Schierbaums,Person,8
39,Zeitungs-Vertrieb Ludwig Mölk,Person,8
40,R-Pfennig,Organisation,8
41,Auskunft,Organisation,8
42,Partei,Organisation,8
43,Off,Person,8
44,Lotterstr,Person,8
45,Geschäftsst,Person,8
46,Göricke-Werke,Organisation,8
47,Alexander,Person,8
48,Hans Pühringer,Person,8
49,Caroline Tweer,Person,8
50,Hut-Meyer,Person,8
51,Wilh,Person,8
52,Böttchermeister,Person,8
53,Brauer's Buchdruckerei,Person,8
54,L. Heymann,Person,7
55,Pfd,Person,7
56,Getränke,Person,7
57,Youngplan,Organisation,7
58,Arbeitsloser Schlosser,Person,7
59,G. Gude,Person,7
60,Markus,Person,7
61,Bachmann,Person,7
62,Marie Schlüter,Person,7
63,Hülsmann,Person,7
64,A. Brandt,Person,7
65,Schöne,Person,7
66,Agentur für Bramsche und Umgegend,Organisation,7
67,F. Schulte,Person,7
68,Alfred Winkelmann,Person,7
69,Ernst Jacoblinnert,Person,6
70,Strodthoff,Person,6
71,Zeitungshalle Neumarkt,Person,6
72,Zeitungshalle,Person,6
73,Zeitungs-Vertrieb Rönker,Person,6
74,Zigarrenhaus Niemeyer,Person,6
75,Franz Hülsmann,Person,6
76,Hochachtungsvoll,Person,6
