jahr,dateiname,anker,begriffe,zitat
1930,01. Ausgabe 1930.txt,Juden,finanz,"selbstverständlich schmerzlich für Leute, die das auf Kosten Dritter tun. Die etwas eigenartigen Finanzanschauungen hat der Oberbürgermeister wohl von dem Juden Hilferding. Von derartigen Begriffsverirrungen dürfte der Sprecher vielleicht ein williges Bürgervorsteher-Kollegium überzeugen, schwerlich aber einen Menschen, der auch nur bis"
1930,01. Ausgabe 1930.txt,Jude,geld,"Verstand verlieren und, wie es Emporkömmlinge eben meist tun, ohne Maß und Ziel das Geld zum Fenster hinauswerfen. Der Wiener Jude Hilferding ist wieder in die Arme seiner Partei getürmt, um weiter vom sicheren SPD-Bort aus das deutsche Wirtschaftsleben untergraben zu"
1930,01. Ausgabe 1930.txt,Juden,kaufen,"Wollene Unterzeuge. Dehne & Sopp, OSNABRÜCK. SEEFISCH Großestr. 24/25. RESTAURANT „Lloyd“. BRATFISCH. SPEZIALBIERE. GROSSE STR. 68 OSNABRÜCK GEGENÜBER WOOLWORTH. Den Juden meiden Sie totsicher, wenn Sie Ihre Einkäufe bei unseren Inserenten machen! Inventur-Ausverkauf (Beginn: Montag, den 6. Januar 1930). Damen-Mäntel nur"
1930,01. Ausgabe 1930.txt,Juden,"geschäft, kaufen",6524. Humorist empfiehlt sich den verehrten Vereinen bei billigster Berechnung! Nachzufragen in der Geschäftsst. Großestraße 66. 1. Gebot: Nie beim Juden kaufen! 2. Gebot: In erster Linie unsere Inserenten berücksichtigen! 3.-10. Gebot: Unter keinen Umständen beim Juden kaufen! Autovermietung Tel. 5410.
1930,01. Ausgabe 1930.txt,Juden,kaufen,1. Gebot: Nie beim Juden kaufen! 2. Gebot: In erster Linie unsere Inserenten berücksichtigen! 3.-10. Gebot: Unter keinen Umständen beim Juden kaufen! Autovermietung Tel. 5410. Tag- und Nachtbetrieb. Luxus-Fuhrgeschäft. Spezialität: Hochzeits-Gespanne. Osnabrück Herm. Siebert Kamp 25. Gasthof Ferd. Pörtner Hasestraße 62
1930,01. Ausgabe 1930.txt,Juden,bank,"Ergebnis von Regierungs-Erwägungen bekanntgegeben wird. Ein sprechendes Beispiel geben uns die letzten Ereignisse in der Reichsregierung, die zum Rücktritt des Juden Hilferding geführt haben. Trotz großzügiger Pumpwirtschaft bei Banken, Sozialversicherungsanstalten, des Zündholzmonopols, erweiterte sich das Kassendefizit von Tag zu Tag, die"
1931,01. Ausgabe 1931-1.txt,jüdischen,geschäft,"überschütteten – der stille Ratgeber war bestimmt kein tiefer Denker, ich hab ihn nie dafür gehalten – und eine vom jüdischen Geschäftsgeist vergiftete Presse gegen mich und meine Getreuen mobil machten, dachten sie, mich in die Verteidigung zu drängen. Ich habe"
1931,02. Ausgabe 1931-1.txt,jüdischen,"kaufen, warenhaus","Hausfrau und Mutter weiß, was sie zu tun hat, sie wird die Quittung für diese Verhöhnung der Armut durch einen jüdischen Warenhausbetrieb geben, sie wird nur noch beim reellen Einzelhändler kaufen. Markus verkauft „billige“ Lackschuhe Wir können immer wieder feststellen, dass"
1931,02. Ausgabe 1931-1.txt,Juden,kaufen,"Die meisten Menschen werden erst durch eigenen Schaden klug, so auch diese Volksgenossin, die sich geschworen hat, nie mehr beim Juden zu kaufen. Es war ja meiner! (Nach einer wahren Begebenheit) In einer Familie zur Sommerzeit / Herrschte viel Elend und"
1931,02. Ausgabe 1931-1.txt,Jude,finanz,"zum Himmel stinken? Frankreich ist Siegerstaat und trotzdem hatte es den Fall Stavisky und den Fall der Madame Hanau. Der Jude Klotz war Finanzminister und hatte den französischen Staat um viele Millionen betrogen und Madame Hanau, eine aus Frankfurt eingewanderte Jüdin,"
