scope,target,collocate,cofreq,freq_target,freq_collocate,n_total,ll,pmi
gesamt,jude,aruch,6,2013,6,525359,66.7913,8.0278
gesamt,jude,getauft,5,2013,5,525359,55.6569,8.0278
gesamt,jude,sekretär,7,2013,8,525359,71.906,7.8352
gesamt,jude,gebot,149,2013,177,525359,1515.0986,7.7794
gesamt,jude,aegypten,5,2013,6,525359,50.2579,7.7648
gesamt,jude,rosbach,5,2013,6,525359,50.2579,7.7648
gesamt,jude,zielenziger,8,2013,10,525359,79.0703,7.7059
gesamt,jude,nichtjude,27,2013,37,525359,257.7377,7.5732
gesamt,jude,gelobt,8,2013,11,525359,76.195,7.5684
gesamt,jude,arier,10,2013,14,525359,94.6177,7.5424
gesamt,jude,heiland,5,2013,7,525359,47.2965,7.5424
gesamt,jude,winken,11,2013,16,525359,102.6414,7.4872
gesamt,jude,zionistisch,6,2013,9,525359,55.357,7.4429
gesamt,jude,araber,8,2013,12,525359,73.8173,7.4429
gesamt,jude,singer,6,2013,9,525359,55.357,7.4429
gesamt,jude,zionist,5,2013,8,525359,45.0949,7.3497
gesamt,jude,rassegenossen,5,2013,8,525359,45.0949,7.3497
gesamt,jude,wohltätig,5,2013,8,525359,45.0949,7.3497
gesamt,jude,volksschädlich,5,2013,8,525359,45.0949,7.3497
gesamt,jude,inserent,20,2013,33,525359,178.6241,7.3053
gesamt,jüdisch,literat,7,1304,7,525359,84.0186,8.6542
gesamt,jüdisch,kampforganisation,7,1304,7,525359,84.0186,8.6542
gesamt,jüdisch,verlustliste,7,1304,7,525359,84.0186,8.6542
gesamt,jüdisch,religionsgemeinschaft,8,1304,9,525359,89.7533,8.4843
gesamt,jüdisch,centralverein,15,1304,17,525359,167.8268,8.4736
gesamt,jüdisch,zentralverein,8,1304,10,525359,86.0292,8.3323
gesamt,jüdisch,geschäftsinhaber,6,1304,8,525359,63.0239,8.2392
gesamt,jüdisch,neujahrsfest,5,1304,7,525359,51.6397,8.1688
gesamt,jüdisch,bankkapital,5,1304,7,525359,51.6397,8.1688
gesamt,jüdisch,weltherrschaft,8,1304,12,525359,80.7708,8.0693
gesamt,jüdisch,menschenrecht,13,1304,23,525359,124.6514,7.8311
gesamt,jüdisch,verseucht,9,1304,16,525359,86.1422,7.8241
gesamt,jüdisch,staatsbürger,59,1304,107,525359,563.5714,7.7954
gesamt,jüdisch,liga,11,1304,20,525359,104.5818,7.7917
gesamt,jüdisch,rituell,6,1304,11,525359,56.8779,7.7797
gesamt,jüdisch,profitgier,8,1304,15,525359,75.3343,7.7473
