transition,term,abs_a,abs_b,pmio_a,pmio_b,pmio_diff,g2,direction,rank_aufsteiger,rank_absteiger
1929→1930,oberbürgermeister,117,873,947.4,3279.01,2331.61,-215.4313,Aufsteiger,1,10584
1929→1930,gericht,32,374,259.12,1404.75,1145.63,-134.6973,Aufsteiger,2,10583
1929→1930,seite,169,849,1368.47,3188.86,1820.39,-120.5973,Aufsteiger,3,10582
1929→1930,jursch,0,154,0.0,578.43,578.43,-117.3986,Aufsteiger,4,10581
1929→1930,weizen,0,123,0.0,461.99,461.99,-93.7619,Aufsteiger,5,10580
1929→1930,johannisstr,17,227,137.66,852.62,714.96,-88.7634,Aufsteiger,6,10579
1929→1930,zentrum,28,275,226.73,1032.91,806.18,-87.3087,Aufsteiger,7,10578
1929→1930,roggen,2,126,16.19,473.26,457.07,-80.0408,Aufsteiger,8,10577
1929→1930,simoneit,8,166,64.78,623.5,558.72,-80.0304,Aufsteiger,9,10576
1929→1930,hafer,2,124,16.19,465.75,449.56,-78.5795,Aufsteiger,10,10575
1929→1930,angeklagter,12,178,97.17,668.57,571.4,-73.7552,Aufsteiger,11,10574
1929→1930,zeuge,11,169,89.07,634.77,545.7,-71.3064,Aufsteiger,12,10573
1929→1930,rechtsanwalt,18,200,145.75,751.2,605.45,-69.5738,Aufsteiger,13,10572
1929→1930,scheidt,0,91,0.0,341.8,341.8,-69.3651,Aufsteiger,14,10571
1929→1930,redakteur,16,189,129.56,709.89,580.33,-68.5193,Aufsteiger,15,10570
1929→1930,vorsitzend,16,172,129.56,646.04,516.48,-58.4465,Aufsteiger,16,10569
1929→1930,brüning,0,76,0.0,285.46,285.46,-57.9299,Aufsteiger,17,10568
1929→1930,staatsanwalt,23,201,186.24,754.96,568.72,-57.8282,Aufsteiger,18,10567
1929→1930,millimeterzeil,0,74,0.0,277.95,277.95,-56.4053,Aufsteiger,19,10566
1929→1930,mosbach,4,107,32.39,401.89,369.5,-56.3151,Aufsteiger,20,10565
1929→1930,aufderheide,1,83,8.1,311.75,303.65,-54.7147,Aufsteiger,21,10564
1929→1930,lohstr,2,90,16.19,338.04,321.85,-53.9281,Aufsteiger,22,10563
1929→1930,gaertner,4,103,32.39,386.87,354.48,-53.5648,Aufsteiger,23,10562
1929→1930,akte,6,109,48.58,409.41,360.83,-49.7565,Aufsteiger,24,10561
1929→1930,donnerstag,10,128,80.97,480.77,399.8,-48.8027,Aufsteiger,25,10560
1929→1930,laer,0,64,0.0,240.39,240.39,-48.7822,Aufsteiger,26,10559
1929→1930,magistrat,132,538,1068.86,2020.74,951.88,-48.5583,Aufsteiger,27,10558
1929→1930,judengeschäft,0,62,0.0,232.87,232.87,-47.2576,Aufsteiger,28,10557
1929→1930,gebot,16,152,129.56,570.92,441.36,-46.9694,Aufsteiger,29,10556
1929→1930,braugerste,0,61,0.0,229.12,229.12,-46.4953,Aufsteiger,30,10554
1929→1930,geschäftszeit,0,61,0.0,229.12,229.12,-46.4953,Aufsteiger,30,10554
1929→1930,anzeigenannahme,0,60,0.0,225.36,225.36,-45.733,Aufsteiger,32,10553
1929→1930,schwein,4,90,32.39,338.04,305.65,-44.7117,Aufsteiger,33,10552
1929→1930,urteil,39,235,315.8,882.67,566.87,-44.5422,Aufsteiger,34,10551
1929→1930,kräuterbonbon,0,58,0.0,217.85,217.85,-44.2084,Aufsteiger,35,10550
1929→1930,nachmittag,3,83,24.29,311.75,287.46,-44.1321,Aufsteiger,36,10549
1929→1930,strafantrag,2,76,16.19,285.46,269.27,-43.9237,Aufsteiger,37,10548
1929→1930,achtgespalten,0,54,0.0,202.83,202.83,-41.1593,Aufsteiger,38,10546
1929→1930,gersie,0,54,0.0,202.83,202.83,-41.1593,Aufsteiger,38,10546
1929→1930,bielefelder,0,53,0.0,199.07,199.07,-40.397,Aufsteiger,40,10544
1929→1930,konfektion,0,53,0.0,199.07,199.07,-40.397,Aufsteiger,40,10544
1929→1930,lässt,10,113,80.97,424.43,343.46,-39.7615,Aufsteiger,42,10543
1929→1930,textwort,0,52,0.0,195.31,195.31,-39.6348,Aufsteiger,43,10542
1929→1930,hasestr,2,69,16.19,259.17,242.98,-38.9688,Aufsteiger,44,10541
1929→1930,antrag,49,254,396.77,954.03,557.26,-38.0805,Aufsteiger,45,10540
1929→1930,einstweilig,0,48,0.0,180.29,180.29,-36.5857,Aufsteiger,46,10539
1929→1930,beschlagnahme,4,77,32.39,289.21,256.82,-36.0204,Aufsteiger,47,10538
1929→1930,schluss,1,57,8.1,214.09,205.99,-35.6408,Aufsteiger,48,10537
1929→1930,hugo,2,64,16.19,240.39,224.2,-35.4538,Aufsteiger,49,10536
1929→1930,bielefeld,4,76,32.39,285.46,253.07,-35.3601,Aufsteiger,50,10535
1929→1930,villa,16,129,129.56,484.53,354.97,-34.4053,Aufsteiger,51,10534
1929→1930,hauszinssteuer,2,62,16.19,232.87,216.68,-34.0542,Aufsteiger,52,10533
1929→1930,fernsprecher,16,128,129.56,480.77,351.21,-33.8776,Aufsteiger,53,10532
