year,ngram,n,abs,per_million,seed_terms,category
1929,jude kaufen,2,15,121.46,jude,Ethnisierung
1929,jude deutsch,2,11,89.07,jude,Ethnisierung
1929,volk jude,2,9,72.88,jude,Ethnisierung
1929,jüdisch warenhaus,2,9,72.88,jüdisch,Ethnisierung
1929,adolf hitler,2,8,64.78,hitler,NS-Terminologie
1929,jude klüngel,2,8,64.78,jude,Ethnisierung
1929,nationalsozialistisch deutsch,2,8,64.78,nationalsozialistisch,NS-Terminologie
1929,pfennig jude,2,8,64.78,jude,Ethnisierung
1929,jüdisch volk,2,7,56.68,jüdisch,Ethnisierung
1929,staatsbürger jüdisch,2,7,56.68,jüdisch,Ethnisierung
1929,jude deutsche,2,7,56.68,jude,Ethnisierung
1929,jude deutschland,2,7,56.68,jude,Ethnisierung
1929,jüdisch bank,2,6,48.58,jüdisch,Ethnisierung
1929,republik jude,2,6,48.58,jude,Ethnisierung
1929,jude hilferding,2,6,48.58,jude,Ethnisierung
1929,jüdisch geschäft,2,6,48.58,jüdisch,Ethnisierung
1929,jüdisch hand,2,6,48.58,jüdisch,Ethnisierung
1929,jüdisch arzt,2,6,48.58,jüdisch,Ethnisierung
1929,jüdisch glauben,2,6,48.58,jüdisch,Ethnisierung
1929,geld jude,2,6,48.58,jude,Ethnisierung
1929,niemals jude,2,5,40.49,jude,Ethnisierung
1929,nationalsozialist kampf,2,5,40.49,nationalsozialist,NS-Terminologie
1929,kölner jude,2,5,40.49,jude,Ethnisierung
1929,beziehen jude,2,5,40.49,jude,Ethnisierung
1929,jude bringen,2,5,40.49,jude,Ethnisierung
1929,jude stehen,2,5,40.49,jude,Ethnisierung
1929,bleiben jude,2,5,40.49,jude,Ethnisierung
1929,jude jude,2,4,32.39,"jude, jude",Ethnisierung
1929,beleidigung jude,2,4,32.39,jude,Ethnisierung
1929,jüdisch schriftsteller,2,4,32.39,jüdisch,Ethnisierung
1929,jüdisch presse,2,4,32.39,jüdisch,Ethnisierung
1929,echt jüdisch,2,4,32.39,jüdisch,Ethnisierung
1929,jüdisch firma,2,4,32.39,jüdisch,Ethnisierung
1929,frau nationalsozialist,2,4,32.39,nationalsozialist,NS-Terminologie
1929,christ jude,2,4,32.39,jude,Ethnisierung
1929,jüdisch kapital,2,4,32.39,jüdisch,Ethnisierung
1929,jude tragen,2,4,32.39,jude,Ethnisierung
1929,jude vaterland,2,4,32.39,jude,Ethnisierung
1929,jude spitze,2,3,24.29,jude,Ethnisierung
1929,jüdisch problem,2,3,24.29,jüdisch,Ethnisierung
1929,system nationalsozialist,2,3,24.29,nationalsozialist,NS-Terminologie
1929,anhänger hitler,2,3,24.29,hitler,NS-Terminologie
