year,term,category,abs,per_million
1929,arier,NS-Terminologie,1,8.1
1930,arier,NS-Terminologie,12,45.07
1931,arier,NS-Terminologie,1,7.57
1929,arisch,NS-Terminologie,0,0.0
1930,arisch,NS-Terminologie,17,63.85
1931,arisch,NS-Terminologie,0,0.0
1929,blutsauger,Dehumanisierung,0,0.0
1930,blutsauger,Dehumanisierung,2,7.51
1931,blutsauger,Dehumanisierung,3,22.71
1929,eindringling,Dehumanisierung,3,24.29
1930,eindringling,Dehumanisierung,1,3.76
1931,eindringling,Dehumanisierung,1,7.57
1929,eindringlinge,Dehumanisierung,0,0.0
1930,eindringlinge,Dehumanisierung,0,0.0
1931,eindringlinge,Dehumanisierung,0,0.0
1929,fremdkörper,Dehumanisierung,3,24.29
1930,fremdkörper,Dehumanisierung,2,7.51
1931,fremdkörper,Dehumanisierung,0,0.0
1929,führerprinzip,NS-Terminologie,0,0.0
1930,führerprinzip,NS-Terminologie,0,0.0
1931,führerprinzip,NS-Terminologie,0,0.0
1929,gesindel,Dehumanisierung,4,32.39
1930,gesindel,Dehumanisierung,8,30.05
1931,gesindel,Dehumanisierung,3,22.71
1929,hakenkreuz,NS-Terminologie,6,48.58
1930,hakenkreuz,NS-Terminologie,6,22.54
1931,hakenkreuz,NS-Terminologie,6,45.41
1929,halbjude,Ethnisierung,0,0.0
1930,halbjude,Ethnisierung,2,7.51
1931,halbjude,Ethnisierung,0,0.0
1929,hitler,NS-Terminologie,17,137.66
1930,hitler,NS-Terminologie,75,281.7
1931,hitler,NS-Terminologie,23,174.08
1929,hitlerbewegung,NS-Terminologie,2,16.19
1930,hitlerbewegung,NS-Terminologie,13,48.83
1931,hitlerbewegung,NS-Terminologie,0,0.0
1929,jude,Ethnisierung,454,3676.23
1930,jude,Ethnisierung,1125,4225.53
1931,jude,Ethnisierung,403,3050.14
1929,juden,Ethnisierung,0,0.0
1930,juden,Ethnisierung,0,0.0
1931,juden,Ethnisierung,0,0.0
1929,judenblatt,Ethnisierung,2,16.19
1930,judenblatt,Ethnisierung,0,0.0
1931,judenblatt,Ethnisierung,1,7.57
