lemma,abs,per_million
deutsch,3496,6654.5
herr,3134,5965.44
osnabrück,2804,5337.3
jude,2013,3831.67
volk,1759,3348.19
lassen,1663,3165.45
mark,1580,3007.47
stehen,1470,2798.09
seite,1421,2704.82
stadt,1413,2689.59
schierbaum,1386,2638.2
wissen,1383,2632.49
jüdisch,1304,2482.11
deutschland,1244,2367.9
sehen,1159,2206.11
bringen,1091,2076.68
oberbürgermeister,1041,1981.5
letzter,1012,1926.3
million,1006,1914.88
osnabrücker,1004,1911.07
mann,979,1863.49
finden,951,1810.19
stellen,924,1758.8
nehmen,922,1754.99
geben,910,1732.15
sagen,896,1705.5
frei,881,1676.95
frau,872,1659.82
hoch,870,1656.01
mensch,860,1636.98
bleiben,836,1591.29
presse,835,1589.39
schreiben,826,1572.26
halten,825,1570.35
fall,822,1564.64
preis,809,1539.9
partei,798,1518.96
unser,791,1505.64
leben,782,1488.51
magistrat,774,1473.28
erhalten,772,1469.47
geld,772,1469.47
liegen,752,1431.4
zeitung,742,1412.37
staat,733,1395.24
arbeiter,705,1341.94
stelle,700,1332.42
glauben,694,1321.0
führen,683,1300.06
berlin,681,1296.26
beamter,679,1292.45
grund,679,1292.45
arbeit,675,1284.84
wort,673,1281.03
groß,660,1256.28
land,659,1254.38
müssen,659,1254.38
haus,651,1239.15
bekommen,640,1218.21
leute,630,1199.18
politisch,619,1178.24
billig,610,1161.11
sprechen,604,1149.69
frage,601,1143.98
sache,598,1138.27
hand,589,1121.14
denken,588,1119.23
reich,586,1115.43
straße,577,1098.3
geschäft,576,1096.39
folgend,575,1094.49
interesse,560,1065.94
kampf,558,1062.13
artikel,545,1037.39
erklären,544,1035.48
kind,538,1024.06
schwer,535,1018.35
öffentlich,522,993.61
kaufen,522,993.61
kosten,519,987.9
gericht,518,985.99
regierung,512,974.57
leser,500,951.73
kommen,494,940.31
zeigen,494,940.31
handeln,494,940.31
name,492,936.5
bürger,490,932.7
suchen,490,932.7
prozent,489,930.79
schön,484,921.27
erscheinen,483,919.37
fest,472,898.43
verlangen,470,894.63
weise,467,888.92
nennen,465,885.11
voll,462,879.4
anzeige,457,869.88
woche,455,866.07
lesen,448,852.75
welt,446,848.94
monat,445,847.04
arzt,445,847.04
firma,444,845.14
stark,443,843.23
genau,436,829.91
brauchen,431,820.39
gehören,431,820.39
auge,430,818.49
städtisch,430,818.49
fallen,427,812.78
tatsache,425,808.97
fast,423,805.16
kennen,423,805.16
steuer,418,795.65
gesetz,414,788.03
einfach,413,786.13
zentrum,408,776.61
tragen,407,774.71
verstehen,404,769.0
setzen,403,767.09
bezahlen,400,761.38
hören,397,755.67
wahrheit,397,755.67
deutsche,396,753.77
sofort,395,751.87
antrag,387,736.64
nächster,386,734.74
christlich,385,732.83
ziehen,381,725.22
fragen,379,721.41
wirtschaft,375,713.8
anderer,374,711.89
schaffen,372,708.09
preußisch,372,708.09
sogar,370,704.28
nationalsozialist,362,689.05
wirtschaftlich,359,683.34
helfen,352,670.02
lage,351,668.11
freund,351,668.11
übrig,349,664.31
kreis,349,664.31
verlag,347,660.5
redaktion,346,658.6
feststellen,345,656.69
berliner,343,652.89
hiesig,343,652.89
treten,342,650.98
derartig,341,649.08
urteil,338,643.37
meinung,337,641.47
ding,336,639.56
einzig,334,635.76
legen,332,631.95
nämlich,332,631.95
sonntag,328,624.33
trotz,326,620.53
sinn,324,616.72
klar,324,616.72
scheinen,323,614.82
nummer,323,614.82
system,323,614.82
ernst,321,611.01
heutig,321,611.01
können,320,609.11
mittelstand,319,607.2
öffentlichkeit,318,605.3
richten,318,605.3
versuchen,316,601.49
arbeiten,315,599.59
sitzen,315,599.59
gleich,313,595.78
behaupten,311,591.98
persönlich,310,590.07
volke,310,590.07
dürfen,309,588.17
telefon,308,586.27
person,307,584.36
buch,305,580.56
gehen,304,578.65
gott,304,578.65
bitte,303,576.75
mitglied,303,576.75
sozialdemokratisch,302,574.85
wagen,302,574.85
empfehlen,302,574.85
angeklagter,302,574.85
gesamt,301,572.94
gewiß,301,572.94
treiben,301,572.94
zahlen,299,569.13
zweck,298,567.23
sicher,298,567.23
jeder,297,565.33
bestehen,296,563.42
schuld,296,563.42
wert,294,559.62
fahren,294,559.62
heinrich,292,555.81
täglich,291,553.91
republik,290,552.0
krieg,289,550.1
jung,289,550.1
erkennen,288,548.2
eigentlich,287,546.29
verschieden,287,546.29
kopf,286,544.39
fortsetzung,283,538.68
folgen,283,538.68
erfolg,282,536.78
führer,282,536.78
pflicht,281,534.87
angestellter,280,532.97
vertreter,279,531.07
zustand,279,531.07
staatsanwalt,279,531.07
verkaufen,277,527.26
leisten,276,525.36
bürgervorsteher,275,523.45
geschehen,275,523.45
annehmen,274,521.55
lang,274,521.55
blatt,273,519.64
kraft,272,517.74
gehalt,272,517.74
geist,271,515.84
minister,271,515.84
stets,271,515.84
übernehmen,270,513.93
bestimmen,270,513.93
reichstag,269,512.03
besonderer,267,508.22
stunde,264,502.51
stellung,264,502.51
jedenfalls,263,500.61
brief,263,500.61
rechtsanwalt,263,500.61
antwort,262,498.71
august,262,498.71
schnell,262,498.71
zahl,261,496.8
beweisen,261,496.8
geschäftsstelle,260,494.9
hafer,260,494.9
verfügung,259,493.0
johannisstr,259,493.0
warenhaus,259,493.0
rein,257,489.19
befinden,257,489.19
ausführung,257,489.19
kurz,257,489.19
ansehen,256,487.29
einzeln,256,487.29
verhandlung,256,487.29
meinen,256,487.29
bestimmt,254,483.48
gemeinde,254,483.48
selbstverständlich,253,481.58
