year,lemma,abs,per_million
1929,herr,976,7903.09
1929,deutsch,950,7692.56
1929,osnabrück,729,5903.03
1929,volk,494,4000.13
1929,stadt,483,3911.06
1929,jude,454,3676.23
1929,lassen,420,3400.92
1929,stehen,328,2655.96
1929,wissen,328,2655.96
1929,mark,319,2583.08
1929,deutschland,306,2477.81
1929,jüdisch,292,2364.45
1929,frau,275,2226.79
1929,sehen,257,2081.04
1929,bringen,256,2072.94
1929,schierbaum,251,2032.45
1929,osnabrücker,244,1975.77
1929,letzter,243,1967.68
1929,million,241,1951.48
1929,mann,239,1935.29
1929,geld,227,1838.12
1929,nehmen,225,1821.92
1929,preis,223,1805.73
1929,leben,220,1781.43
1929,schreiben,219,1773.34
1929,mensch,215,1740.95
1929,stellen,214,1732.85
1929,arbeit,214,1732.85
1929,finden,212,1716.65
1929,frei,210,1700.46
1929,geben,208,1684.27
1929,stelle,206,1668.07
1929,unser,201,1627.58
1929,müssen,199,1611.39
1929,leute,198,1603.29
1929,partei,194,1570.9
1929,hoch,193,1562.8
1929,straße,191,1546.61
1929,bleiben,191,1546.61
1929,sagen,185,1498.02
1929,billig,185,1498.02
1929,grund,182,1473.73
1929,liegen,181,1465.63
1929,erhalten,181,1465.63
1929,berlin,179,1449.44
1929,glauben,178,1441.34
1929,arbeiter,177,1433.24
1929,halten,175,1417.05
1929,name,175,1417.05
1929,zeitung,172,1392.76
1929,groß,170,1376.56
1929,seite,169,1368.47
1929,wort,167,1352.27
1929,presse,167,1352.27
1929,bekommen,166,1344.17
1929,fall,164,1327.98
1929,führen,153,1238.91
1929,staat,153,1238.91
1929,beamter,151,1222.71
1929,haus,144,1166.03
1929,kind,141,1141.74
1929,verlangen,141,1141.74
1929,frage,141,1141.74
1929,welt,139,1125.54
1929,nennen,137,1109.35
1929,land,135,1093.15
1929,reich,134,1085.06
1929,öffentlich,133,1076.96
1929,politisch,133,1076.96
1929,denken,132,1068.86
1929,magistrat,132,1068.86
1929,folgend,132,1068.86
1929,arzt,132,1068.86
1929,telefon,131,1060.76
1929,kosten,131,1060.76
1929,hand,129,1044.57
1929,sache,128,1036.47
1929,voll,126,1020.28
1929,schön,125,1012.18
1929,kaufen,125,1012.18
1929,gesetz,124,1004.08
1929,schwer,123,995.98
1929,prozent,123,995.98
1929,interesse,123,995.98
1929,sprechen,122,987.89
1929,sonntag,120,971.69
1929,erklären,120,971.69
1929,artikel,120,971.69
1929,anzeige,119,963.59
1929,arbeiten,119,963.59
1929,oberbürgermeister,117,947.4
1929,gehören,116,939.3
1929,republik,115,931.2
1929,bezahlen,113,915.01
1929,stark,112,906.91
1929,einfach,112,906.91
1929,woche,112,906.91
1929,bürger,112,906.91
1929,mittelstand,111,898.81
1929,regierung,110,890.72
1929,deutsche,110,890.72
1929,nummer,109,882.62
1929,brauchen,109,882.62
1929,firma,108,874.52
1929,genau,107,866.42
1929,fest,107,866.42
1929,erscheinen,106,858.33
1929,lesen,105,850.23
1929,kampf,104,842.13
1929,kennen,104,842.13
1929,leser,104,842.13
1929,übernehmen,103,834.04
1929,geschäft,103,834.04
1929,empfehlen,103,834.04
1929,zeigen,102,825.94
1929,städtisch,102,825.94
1929,berliner,101,817.84
1929,handeln,101,817.84
1929,übrig,100,809.74
1929,leisten,100,809.74
1929,tragen,99,801.65
1929,monat,99,801.65
1929,nationalsozialist,97,785.45
1929,verschieden,97,785.45
1929,zahlen,97,785.45
1929,verstehen,96,777.35
1929,international,95,769.26
1929,weise,95,769.26
1929,steuer,95,769.26
1929,verlag,94,761.16
1929,anderer,93,753.06
1929,hören,93,753.06
1929,hiesig,93,753.06
1929,christlich,92,744.96
1929,fallen,92,744.96
1929,auge,91,736.87
1929,bestimmt,90,728.77
1929,setzen,89,720.67
1929,sogar,89,720.67
1929,gewiß,89,720.67
1929,bank,89,720.67
1929,wirtschaft,89,720.67
1929,helfen,87,704.48
1929,blatt,87,704.48
1929,vertreter,87,704.48
1929,bekannt,86,696.38
1929,eigentlich,86,696.38
1929,nächster,86,696.38
1929,schaffen,86,696.38
1929,meinung,85,688.28
1929,krieg,85,688.28
1929,kommen,85,688.28
1929,suchen,85,688.28
1929,gleich,84,680.18
1929,wirtschaftlich,84,680.18
1929,kopf,84,680.18
1929,gott,84,680.18
1929,sinn,84,680.18
1929,sicher,84,680.18
1929,treiben,83,672.09
1929,treten,83,672.09
1929,zustand,83,672.09
1929,tatsache,83,672.09
1929,führer,82,663.99
1929,ernst,82,663.99
1929,schuld,82,663.99
1929,stresemann,81,655.89
1929,scheinen,81,655.89
1929,zweck,81,655.89
1929,fast,80,647.79
1929,derartig,80,647.79
1929,hilferding,78,631.6
1929,warenhaus,78,631.6
1929,ziehen,78,631.6
1929,bestimmen,77,623.5
1929,erfolg,77,623.5
1929,nämlich,77,623.5
1929,person,77,623.5
1929,können,77,623.5
1929,geschehen,77,623.5
1929,angestellter,77,623.5
1929,annehmen,76,615.4
1929,kollege,76,615.4
1929,ding,76,615.4
1929,persönlich,75,607.31
1929,geist,75,607.31
1929,krankheit,75,607.31
1929,tausend,74,599.21
1929,jung,74,599.21
1929,einzig,73,591.11
1929,schnell,73,591.11
1929,versuchen,72,583.01
1929,reichstag,72,583.01
1929,fahren,72,583.01
1929,allgemeinheit,72,583.01
1929,milliarde,72,583.01
1929,buch,72,583.01
1929,heinr,72,583.01
1929,reichspfennig,71,574.92
1929,wahrheit,71,574.92
1929,heutig,71,574.92
1929,minister,71,574.92
1929,täglich,71,574.92
1929,ecke,71,574.92
1929,tageblatt,71,574.92
1929,stets,71,574.92
1929,wert,71,574.92
1929,ebenfalls,71,574.92
1929,geschichte,70,566.82
1929,nötig,70,566.82
1929,stück,70,566.82
1929,verdienen,70,566.82
1929,liefern,70,566.82
1929,bürgervorsteher,70,566.82
1929,volke,69,558.72
1929,aufgabe,69,558.72
1929,wille,69,558.72
1929,lage,68,550.63
1929,fehlen,68,550.63
1929,dürfen,68,550.63
1929,notwendig,68,550.63
1929,wohnung,68,550.63
1929,august,67,542.53
1929,verkaufen,67,542.53
1929,gesamt,67,542.53
1929,christ,67,542.53
1929,inflation,66,534.43
1929,sozialdemokratisch,66,534.43
1929,wasser,66,534.43
1929,kreis,66,534.43
1929,sorgen,66,534.43
1929,folgen,65,526.33
1929,gehen,65,526.33
1929,wahl,65,526.33
1929,zeit,65,526.33
1929,sofort,65,526.33
1929,organ,64,518.24
1929,verlieren,64,518.24
