doc_id,year,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,dominant_topic
01. Ausgabe 1930,1930.0,0.03890485890203597,0.048458113921155115,0.017856014824177147,0.015561980954104696,0.006311297490369046,0.16657106114486558,0.12008553915705711,5
01. Ausgabe 1931-1,1931.0,0.003071700874260282,0.0,0.0,0.21269627907395086,0.10489884576789159,0.0017354699490509072,0.07714382733343533,3
02. Ausgabe 1931-1,1931.0,0.1532638813029439,0.0,0.012098978118028372,0.07776069533010226,0.09439111785814826,0.02576348137121827,0.06482064603320888,0
03. Ausgabe 1931-1,1931.0,0.19888251091132628,0.014256707023831033,0.0,0.07741547345870589,0.0802140323430469,0.010189818608822414,0.00014922381862089249,0
04. Ausgabe 1931,1931.0,0.15545463538933793,0.0,0.029317910919600117,0.1709624193595707,0.034659385136224685,0.000644145998156558,0.0,3
05. Ausgabe 1930-1,1930.0,0.0,0.13994048330295564,0.0,0.0,0.0,0.0,0.3048250533624526,6
05. Ausgabe 1931,1931.0,0.0865715517561411,0.0408910734840173,0.03459112728583307,0.20803600390781005,0.051202721673583855,0.0,0.024114876318379472,3
06. Ausgabe 1930,1930.0,0.0,0.0,0.0,0.5532543078471921,0.0,0.0,0.0,3
06. Ausgabe 1931-1,1931.0,0.0,0.0,0.0,0.5532543078471921,0.0,0.0,0.0,3
07. Ausgabe 1930-1,1930.0,0.0,0.0,0.0,0.022764617664561046,0.0,0.0,0.4060741088770485,6
07. Ausgabe 1931-1,1931.0,0.17055848974508386,0.0009066518577877605,0.0,0.08794283006617035,0.08988423326229793,0.06262595099755543,0.0,0
08. Ausgabe 1930-1,1930.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5278183874862779,6
08. Ausgabe 1930,1930.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5278183874862779,6
08. Ausgabe 1931-1,1931.0,0.15347402923775716,0.029172657603599748,0.023643593128842084,0.138713753205981,0.010748526961425477,0.005077356620720275,0.0,0
09. Ausgabe 1930-1,1930.0,0.0,0.038808020222550796,0.0,0.0,0.0,0.0,0.5080946136284513,6
09. Ausgabe 1930-2,1930.0,0.0,0.038808020222550796,0.0,0.0,0.0,0.0,0.5080946136284513,6
09. Ausgabe 1931-1,1931.0,0.17819459876575916,0.02625535516297156,0.0,0.060380096673317944,0.052186792434777446,0.07730008795776433,0.04652512376004779,0
10. Ausgabe 1930,1930.0,0.0,0.17503220876049405,0.03408551477075609,0.0,0.0,0.0,0.30004038293041585,6
10. Ausgabe 1931,1931.0,0.1447548278855106,0.08932981952715255,0.0,0.18286202154129078,0.0043284404955595485,0.0,0.0,3
11. Ausgabe 1930,1930.0,0.03285131162912067,0.11853424313542092,0.00245707036765409,0.0,0.02787784015173378,0.03589983874834883,0.2576473405272027,6
11. Ausgabe 1931-1,1931.0,0.267037963215971,0.0,0.0,0.00739158344089026,0.00475735958205107,0.0030674926568437927,0.01535461019191001,0
12. Ausgabe 1930,1930.0,0.09250764533021563,0.1216156553890125,0.0,0.011700828724138627,0.0,0.09494193642813195,0.1382150016645001,6
12. Ausgabe 1931-1,1931.0,0.20814767569643086,0.0,0.002258905285104761,0.15957527145330258,0.0,0.0,0.0,0
13. Ausgabe 1930,1930.0,0.05692234357869992,0.10640007352365606,0.015381820637353731,0.0,0.011258533823727957,0.043184342784466506,0.17987415818172792,6
13. Ausgabe 1931-1,1931.0,0.19094322061809202,0.018695897447015917,0.04125604032480082,0.0809041660712938,0.06657920957470205,0.010902420990417173,0.0,0
14. Ausgabe 1930-1,1930.0,0.1312199792283982,0.07795643923636525,0.06789953889199823,0.0,0.0,0.0472064758791329,0.11834726953291971,0
14. Ausgabe 1931-1,1931.0,0.0836607355648639,0.0,0.029052575399385844,0.18064299685206356,0.09684587552782144,0.0,0.0,3
15. Ausgabe 1930-2,1930.0,0.03392560867739164,0.3454133170911685,0.015890016913033576,0.02005984003335715,0.022937316548418303,0.0,0.0,1
15. Ausgabe 1931-2,1931.0,0.2624739350570905,0.0,0.047455232167810675,0.029187713664843577,0.030053830658471795,0.0,0.0,0
16. Ausgabe 1929 OCR korrekt,1929.0,0.0,0.0,0.0,0.0,0.0,0.44676455748359467,0.0,5
16. Ausgabe 1930-1,1930.0,0.08252906431469037,0.24624412770518964,0.0375365170074865,0.016982709469859216,0.0,0.011786845880194028,0.03516762443746233,1
16. Ausgabe 1931-2,1931.0,0.2619539236676337,0.013352948689035752,0.019264707112190624,0.06203670666813064,0.0,0.0,0.0,0
16. Ausgabe OCR korrekt,,0.0,0.0,0.0,0.0,0.0,0.44676455748359467,0.0,5
17. Ausgabe 1930,1930.0,0.0070081366988344156,0.2168519607201558,0.00772862660135968,0.00840643755732819,0.008903951944164611,0.03884746064076227,0.0667941889647002,1
17. Ausgabe 1931-1,1931.0,0.30664720635676174,0.0,0.0,0.0,0.015697544132744514,0.0,0.0,0
18. Ausgabe 1930-1,1930.0,0.06410197457981448,0.20039468731504542,0.024417993373123174,0.019638256258004572,0.05426837953027943,0.07388184716176556,0.049586997318968026,1
18. Ausgabe 1931,1931.0,0.31209016103024995,0.017843661099344293,0.0,0.0,0.0,0.004919331593193794,0.0,0
19. Ausgabe 1931-1,1931.0,0.2962150866087911,0.0,0.0,0.0,0.0,0.00686744497232706,0.0,0
20. Ausgabe 1930,1930.0,0.0,0.5272445021022296,0.0,0.0,0.0,0.0,0.02152420388400642,1
20. Ausgabe 1931-1,1931.0,0.2544206665015206,0.019308143635266364,0.0,0.007646312219081867,0.02194384545792312,0.0,0.0234420693784554,0
21. Ausgabe 1930,1930.0,0.0,0.45899184915654123,0.0,0.08122271636072805,0.0,0.0,0.0,1
21. Ausgabe 1931-1,1931.0,0.30660393562635696,0.0036385060436530028,0.010963328697538886,0.0,0.0,0.0,0.021283742014454293,0
22. Ausgabe 1930,1930.0,0.0,0.4219968902573953,0.0,0.0,0.0,0.0015707037276328575,0.08716089389917353,1
22. Ausgabe 1931-1,1931.0,0.2900344287682351,0.04474620940824888,0.00917706252574416,0.0,0.0,0.0,0.023137011769533537,0
23. Ausgabe 1930,1930.0,0.025936545058328642,0.22941031491079764,0.10092209066026128,0.02928339974489917,0.030321138184821506,0.07533137986622054,0.0,1
23. Ausgabe 1931-1,1931.0,0.29578082537317624,0.0,0.0,0.012005935171758908,0.046311901360050416,0.0,0.0073916373024105675,0
24. Ausgabe 1930,1930.0,0.052078841619499175,0.3532107788672428,0.004079443807823131,0.0,0.0,0.03202442236040016,0.0,1
24. Ausgabe 1931-1,1931.0,0.2503601434599453,0.0,0.0,0.0,0.054356571883737846,0.004775296933219225,0.006440402356841205,0
25. Ausgabe 1930,1930.0,0.06844733424319328,0.2211859052876269,0.06214575228217738,0.0,0.05686667990929859,0.0543518430103841,0.006626095114265154,1
25_26 Ausgabe 1931,1931.0,0.2784012810699728,0.02491048684685275,0.0,0.038914107475843916,0.07531975882086216,0.0,0.0,0
26. Ausgabe 1930,1930.0,0.03998503030156313,0.302658600847907,0.05146064811403791,0.0,0.03455729233277503,0.05019240101744962,0.007505008865307373,1
27. Ausgabe 1930,1930.0,0.07283856851192588,0.2563960680270117,0.03129042255060057,0.018692100494858307,0.01925924252311187,0.04547530304451795,0.0,1
27_28. Ausgabe 1931,1931.0,0.22920615563564295,0.020586134997944126,0.0,0.0,0.017810926465615044,0.13005152634751196,0.0,0
28. Ausgabe 1930,1930.0,0.03139400587064726,0.22081245746336614,0.022006691959005745,0.005542764959873433,0.026608190748037778,0.13526409117090646,0.02834374035241709,1
29. Ausgabe 1930,1930.0,0.04406775720654417,0.3175577500082971,0.0014191122394126856,0.0,0.03862441847782086,0.07576477492705284,0.0,1
29. Ausgabe 1931,1931.0,0.293870322940341,0.0,0.0,0.0,0.012345735976260498,0.03529460089887882,0.0,0
30. Ausgaabe 1930,1930.0,0.05644574318767653,0.13636984953347747,0.0,0.0,0.016267388897753768,0.13763758218153535,0.0,5
30. Ausgabe 1931,1931.0,0.2583178802472451,0.03279926421623367,0.00524248386625151,0.004273663137606985,0.0,0.0480126584910866,0.00018126871784988714,0
31. Ausgabe 1930,1930.0,0.06450487222471898,0.06990311365180214,0.0026841824401522877,0.0,0.07911126323950203,0.2074003014717966,0.0,5
31. Ausgabe 1931,1931.0,0.27705195672961924,0.0,0.0663036856272916,0.0,0.03715132453003192,0.0,0.0,0
32. Ausgabe 1930,1930.0,0.001836378171677942,0.21221480959638825,0.01470859342567399,0.05910857499568117,0.019111575299775307,0.14870427383903317,0.0,1
32. Ausgabe 1931,1931.0,0.2736391327741201,0.016141430023571927,0.06444969998645919,0.0,0.0,0.0,0.007861557710685608,0
33. Ausgabe 1930,1930.0,0.0,0.176458465263053,0.0,0.006654204378433841,0.053773258694327065,0.1336064549127255,0.0,1
33. Ausgabe 1931,1931.0,0.27693758430580395,0.0,0.0,0.0,6.637100655675867e-05,0.0,0.0,0
34. Ausgabe 1930,1930.0,0.0,0.07685747603317379,0.0,0.023503287588273265,0.104381428883199,0.20189978317890925,0.0,5
34a Ausgabe 1930-1,1930.0,0.0,0.44767726588406925,0.0,0.0,0.0,0.0,0.0,1
35. Ausgabe 1930-1,1930.0,0.04836491228213705,0.08994060605199108,0.02134894897114495,0.009980836448791686,0.04923701748910062,0.14279493500281476,0.0,5
36. Ausgabe 1930,1930.0,0.03745491221288157,0.2919747937615631,0.02322414568212468,0.0,0.0,0.11291493996635613,0.0,1
37. Ausgabe 1930,1930.0,0.03137591934588858,0.16158327339645875,0.039068403422754576,0.03161429001176607,0.0804600180537368,0.0782162091257491,0.05008250581816475,1
38. Ausgabe 1930,1930.0,0.06022918752338596,0.11723879704862274,0.0,0.0,0.06600074427026863,0.2142150904095299,0.0,5
39. Ausgabe 1930,1930.0,0.06594258982777997,0.18312625245180578,0.03188692864764067,0.0,0.052992716730043965,0.12276733430713307,0.012274500945950416,1
40. Ausgabe 1930,1930.0,0.03449893229144954,0.1801346911661476,0.0,0.0,0.10675059306854878,0.10553710377585251,0.003121399779707291,1
41. Ausgabe 1930,1930.0,0.0,0.1710837571590504,0.0,0.0,0.23438124986535705,0.07746772535251985,0.009579858445254287,4
42. Ausgabe 1930,1930.0,0.04121852317220402,0.2414626738960875,0.002454009259071609,0.017329975770138187,0.10395873939989544,0.03657356992496975,0.0,1
43. Ausgabe 1930,1930.0,0.02086681974415108,0.05158118801549146,0.0,0.0,0.26904854798716743,0.12292780405525673,0.0,4
44. Ausgabe 1930,1930.0,0.028471078215370604,0.15708920707905796,0.0,0.002690851457364193,0.24461251102787515,0.024207754840301708,0.0,4
45. Ausgabe 1930,1930.0,0.010828994697857435,0.07193705860694326,0.0,0.002519722355341204,0.31023906568191373,0.038407448407685674,0.0,4
46. Ausgabe 1930,1930.0,0.0,0.04679251117467822,0.0,0.0,0.26489960334380536,0.13202002466832066,0.0,4
47. Ausgabe 1930,1930.0,0.0,0.03881217549904062,0.0,0.0,0.3859716483833111,0.028379245089319095,0.007098088179001211,4
