topic,rank,term,weight,is_seedterm
0,1,märz,0.218279,False
0,2,page,0.183248,False
0,3,arzt,0.161959,False
0,4,februar,0.146574,False
0,5,hafer,0.146486,False
0,6,kartoffel,0.146039,False
0,7,april,0.135574,False
0,8,weizen,0.13326,False
0,9,stahlhelm,0.133257,True
0,10,wirtschaft,0.132865,False
0,11,menke,0.127618,False
0,12,volksbegehren,0.126919,False
0,13,roggen,0.126708,False
0,14,gold,0.117694,False
0,15,preußisch,0.117655,False
1,1,oberbürgermeister,0.569704,False
1,2,jursch,0.241875,False
1,3,gericht,0.221544,False
1,4,johannisstr,0.203487,False
1,5,staatsanwalt,0.168738,False
1,6,bürger,0.16108,False
1,7,gaertner,0.151573,False
1,8,zeuge,0.141598,False
1,9,villa,0.141248,False
1,10,rechtsanwalt,0.13785,False
1,11,angeklagter,0.135243,False
1,12,simoneit,0.128785,False
1,13,redakteur,0.121277,False
1,14,artikel,0.120164,False
1,15,vorsitzend,0.119554,False
2,1,sächsisch,0.193013,False
2,2,meierhof,0.190687,False
2,3,ortschaft,0.18847,False
2,4,fränkisch,0.174615,False
2,5,dorf,0.169339,False
2,6,arzt,0.168521,False
2,7,ursiedlung,0.168461,False
2,8,siedlung,0.165925,False
2,9,band,0.151722,False
2,10,haufensiedlung,0.150469,False
2,11,kind,0.145834,False
2,12,impfung,0.142506,False
2,13,sachse,0.141631,False
2,14,stadtwächter,0.113619,False
2,15,reformmedizin,0.111795,False
3,1,laer,0.447473,False
3,2,gersie,0.391878,False
3,3,magistrat,0.226786,False
3,4,aufderheide,0.176452,False
3,5,amelingmeyer,0.175116,False
3,6,kritiker,0.161748,False
3,7,gericht,0.157428,False
3,8,grundbuch,0.152549,False
3,9,angeklagter,0.149683,False
3,10,gläubiger,0.139506,False
3,11,orchester,0.138746,False
3,12,baukommission,0.138105,False
3,13,publikum,0.133832,False
3,14,januar,0.131624,False
3,15,remarque,0.131093,False
4,1,oktober,0.207315,False
4,2,konfektion,0.190976,False
4,3,november,0.189394,False
4,4,brüning,0.183793,False
4,5,weizen,0.160875,False
4,6,roggen,0.155278,False
4,7,hafer,0.154346,False
4,8,schwein,0.146869,False
4,9,serienwaren,0.144968,False
4,10,nationalsozialist,0.143326,True
4,11,hitler,0.127017,True
4,12,simoneit,0.126477,False
4,13,regierung,0.123116,False
4,14,preußisch,0.120348,False
4,15,bubi,0.119304,False
5,1,stresemann,0.210791,False
5,2,republik,0.200698,False
5,3,hilferding,0.187991,False
5,4,nationalsozialist,0.172379,True
5,5,arbeiter,0.165452,False
5,6,tritt,0.156952,False
5,7,august,0.154811,False
5,8,international,0.142921,False
5,9,regierung,0.135061,False
5,10,juli,0.107309,False
5,11,republikanisch,0.102861,False
5,12,welt,0.102792,False
5,13,falsch,0.099515,False
5,14,sozialistisch,0.099228,False
5,15,mittelstand,0.098727,False
6,1,magistrat,0.316273,False
6,2,oberbürgermeister,0.311529,False
6,3,elstermann,0.210482,False
6,4,beschlagnahme,0.197245,False
6,5,gebot,0.181981,False
6,6,stadtarzt,0.151313,False
6,7,arbeiter,0.133591,False
6,8,fiat,0.126142,False
6,9,firma,0.119575,False
6,10,antragsteller,0.114749,False
6,11,grewe,0.112328,False
6,12,einstweilig,0.111962,False
6,13,artikel,0.109406,False
6,14,städtisch,0.106781,False
6,15,warenhaus,0.10413,False
